seed,scenario_index,attack,intensity,condition,min_true_c,max_true_c,min_margin_to_sla_c,target_return_min,effective_attack_end_exclusive
11,10,spike,high,mean,27.367811635672563,30.564183428096555,1.4358165719034446,23.0,144.0
11,10,spike,high,oracle,28.87320999017293,30.51303324033275,1.4869667596672507,9.0,144.0
11,11,scaling,low,fpr_crp,28.822093990197523,30.56324322778631,1.4367567722136911,0.0,144.0
11,11,scaling,low,mean,27.94686825471316,30.56324322778631,1.4367567722136911,0.0,144.0
11,11,scaling,low,oracle,28.86168785324405,30.738915512976536,1.2610844870234637,0.0,144.0
11,12,scaling,high,fpr_crp,28.700344859617196,30.47505326558449,1.5249467344155114,0.0,144.0
11,12,scaling,high,mean,27.740546645832257,30.47505326558449,1.5249467344155114,3.0,144.0
11,12,scaling,high,oracle,28.888169699220136,30.64910948972428,1.3508905102757183,0.0,144.0
11,13,stuck,low,fpr_crp,29.14469288293444,30.547699103292405,1.4523008967075945,0.0,144.0
11,13,stuck,low,mean,28.35080097234331,31.532250548467506,0.4677494515324945,25.0,144.0
11,13,stuck,low,oracle,29.309812643980685,30.464267706479077,1.5357322935209226,0.0,144.0
11,14,stuck,high,fpr_crp,27.20859550988978,30.658894056968112,1.341105943031888,33.0,144.0
11,14,stuck,high,mean,26.71494930611272,30.650634251794685,1.3493657482053152,10.0,144.0
11,14,stuck,high,oracle,28.95312309327697,30.50218384569217,1.4978161543078308,0.0,144.0
42,0,nominal,none,fpr_crp,29.24193437280108,30.568874175735985,1.431125824264015,12.0,
42,0,nominal,none,mean,28.46824778472572,30.50359260427227,1.4964073957277293,0.0,
42,0,nominal,none,oracle,29.17827316303678,30.4317592407383,1.5682407592616983,0.0,
42,1,bias,low,fpr_crp,28.917678917684867,30.4874619863954,1.5125380136046012,0.0,144.0
42,1,bias,low,mean,28.4586303886273,30.43560004558649,1.5643999544135099,4.0,144.0
42,1,bias,low,oracle,28.78292549099852,30.519980073636404,1.480019926363596,0.0,144.0
42,2,bias,high,fpr_crp,28.469248871981044,30.54252141534525,1.4574785846547513,0.0,144.0
42,2,bias,high,mean,27.68184938820381,30.503017396501093,1.4969826034989069,4.0,144.0
42,2,bias,high,oracle,28.698541543118843,30.503017396501093,1.4969826034989069,0.0,144.0
42,3,drift,low,fpr_crp,28.83636293198067,30.558309471364325,1.4416905286356752,13.0,144.0
42,3,drift,low,mean,28.07343598120333,30.602875689650997,1.3971243103490032,0.0,144.0
42,3,drift,low,oracle,28.80146654002725,30.50655084542689,1.49344915457311,0.0,144.0
42,4,drift,high,fpr_crp,28.68735233858468,30.771307816446967,1.228692183553033,16.0,144.0
42,4,drift,high,mean,27.40310881053576,30.635287074219757,1.3647129257802426,3.0,144.0
42,4,drift,high,oracle,28.755804911278204,30.46230130439536,1.5376986956046395,0.0,144.0
42,5,replay,low,fpr_crp,28.981961493255007,30.537746215106857,1.462253784893143,10.0,144.0
42,5,replay,low,mean,28.83801002412164,30.74766909245264,1.2523309075473605,0.0,144.0
42,5,replay,low,oracle,28.815335125210687,30.74588070334168,1.2541192966583203,0.0,144.0
42,6,replay,high,fpr_crp,28.896296636525783,30.60490247869329,1.3950975213067096,3.0,144.0
42,6,replay,high,mean,28.59604079495549,30.515163239603083,1.4848367603969166,0.0,144.0
42,6,replay,high,oracle,28.791712108303543,30.515163239603083,1.4848367603969166,0.0,144.0
42,7,freeze,low,fpr_crp,29.22595830569702,30.42047426087053,1.579525739129469,9.0,104.0
42,7,freeze,low,mean,28.73212435654226,30.60677475208909,1.3932252479109088,0.0,104.0
42,7,freeze,low,oracle,28.277056224204387,30.59981500558818,1.4001849944118199,0.0,104.0
