file,sha256,bytes,ticks
seed11_14_stuck_high_mean.ticks.csv,83df3cb216f78878bf547290eed6080892eec1882a4928c65f5264798ed691eb,57217,240
seed11_14_stuck_high_oracle.ticks.csv,94a4075ec3002ee334d93514312d48c67af9278d4ce91d95f6651da64634a9bb,53435,240
seed42_00_nominal_none_fpr_crp.ticks.csv,59ae76dff699e9fff40686101afba63dcb168e0c740e97750cbc72d3ef866ef9,66434,240
seed42_00_nominal_none_mean.ticks.csv,3e274b4d4c0f69ef1766b5cc451c8a0e8b6aeb0dd7f81c2428ef1bc8d0f4a2e6,56355,240
seed42_00_nominal_none_oracle.ticks.csv,2b07386ac14149e86becd59cc6e033fa2fcb71c02c72353499ae2a1a93d50610,52338,240
seed42_01_bias_low_fpr_crp.ticks.csv,cc408c132ab6579dab703337af75a98deb80462e56a5fe51f0ef591c3780a77f,65667,240
seed42_01_bias_low_mean.ticks.csv,a0b52415a1315893a116b39165e4191a874cb7b2483bf9467eaa4b674545873a,55775,240
seed42_01_bias_low_oracle.ticks.csv,ce94809ddb634201fc46bb85ca55f2c32a4f7b889c4a995cbae13240416ec058,51992,240
seed42_02_bias_high_fpr_crp.ticks.csv,7c3da2c8f86c2c38c6ea594ac54d937ec13d308deed3c7118e56524bcb2c36a5,65945,240
seed42_02_bias_high_mean.ticks.csv,71172176abd9e9f8ee39a85d41f5715167af84954de1b844746925249e534974,56659,240
seed42_02_bias_high_oracle.ticks.csv,360561b631cd119c1c0df0d7b2f511209f5521ce5679a56d9b64147547345fc0,52681,240
seed42_03_drift_low_fpr_crp.ticks.csv,4c6fa4f6bbda2b861db449c4ea34fce31fcecf5192ea965b93e48e9da8f2e751,66336,240
seed42_03_drift_low_mean.ticks.csv,d62e7217bb37d1344eac672898f94a2d09a2fffe69fe08cc38ee84ce09e98ccd,55609,240
seed42_03_drift_low_oracle.ticks.csv,3afc4241db53af6ae251b3735118682423e4849d5ce3b92e8c42547589453d28,51998,240
seed42_04_drift_high_fpr_crp.ticks.csv,d26b42f91fe9fdfac00ce3d919a5d353cf9028e3798550b76d917914b2f13f02,66366,240
seed42_04_drift_high_mean.ticks.csv,914fc023863426a21472f93fb978e43463ef7d71531393835ffe942d86a5b37c,56551,240
seed42_04_drift_high_oracle.ticks.csv,c208674eb84f4fb0151fdb3c5ec9f0880276e0cfa7734fe937bd95acb0e1a323,52549,240
seed42_05_replay_low_fpr_crp.ticks.csv,94f634cc57a1dbc7349cb2d7e1c2e2409dea1ffc9e27a6b80faa98f07911bfd7,66061,240
seed42_05_replay_low_mean.ticks.csv,eb7309f4718d160ddd1ff6617e075208bd02baa4c604178985ec0aef42195e79,55211,240
seed42_05_replay_low_oracle.ticks.csv,451b5eff06fcb969c3270e78997e96c8d87ec4b5eac6814d7003fab1b48bc576,51899,240
seed42_06_replay_high_fpr_crp.ticks.csv,6be78abc5dfbed11ef97902e8a875d7447f521149a7034c670ce59ad822c796f,66230,240
seed42_06_replay_high_mean.ticks.csv,0e7355b176a2d83fd01c566d6037ed4297992d99e14ef0e75e4e341027042b0e,55666,240
seed42_06_replay_high_oracle.ticks.csv,0d437be81649a0e85379f8a301b1b80d4593459e93b5a3ba76cee7e37a50ff71,52527,240
seed42_07_freeze_low_fpr_crp.ticks.csv,523a2b3b0c86a456073b6c9f47f9c9094cd2d0180ef18fc0da5328424e16297a,65581,240
seed42_07_freeze_low_mean.ticks.csv,17216970a00947f8a5b414ba1fc607c897f14d238952952ebb117ae6d6a5d251,55693,240
seed42_07_freeze_low_oracle.ticks.csv,105a75749c816b371b609d1712ced5e5491683ca1460426247b6123d057cd5bd,52045,240
seed42_08_freeze_high_fpr_crp.ticks.csv,6116a8f8670fcc137e78759822856eb23b04dd44f2315c3c47349e3fc54bd351,66560,240
seed42_08_freeze_high_mean.ticks.csv,fcf7a104810bbd22ea74b04c60dd137f91717ae912c90135acd45ee805aae7c6,55692,240
seed42_08_freeze_high_oracle.ticks.csv,46828e1942e2d38ce1f806b88a2fbf7e154a9639c40362994f91eef70a198a12,52431,240
seed42_09_spike_low_fpr_crp.ticks.csv,2ef5245bedb5f072856cf6463114d4c53811077f2ff68fe480b3a7663d3522d2,66013,240
seed42_09_spike_low_mean.ticks.csv,c6a9f0e7715370c6dad4e87a95c1ea99416b41df2cb7ea8cbfea138c6ea77615,56259,240
seed42_09_spike_low_oracle.ticks.csv,f7e0fc2277a4a5174ee60bb9a4edf33ad4da6cd0e91d563f82f281a8cf3869eb,52584,240
seed42_10_spike_high_fpr_crp.ticks.csv,5d7fedbb794797535f40df5973be0cd5db828c8cab6d363c9532088dcce92128,66773,240
seed42_10_spike_high_mean.ticks.csv,9bb2e3d475dfb262c7ff27d12d3b0dc235922c6febdbedbd2686643b824adc18,57255,240
seed42_10_spike_high_oracle.ticks.csv,af596acd51b1c5a60249ab36c27425274fe16adf87c82ec95fe63a0044300a61,53171,240
seed42_11_scaling_low_fpr_crp.ticks.csv,eef033c0e0b225fcd949b1b7d2cd4e96861e022cf0009827c304275bb367d17e,66726,240
