file,ticks,temperature_continuity,plant_equation,fan_continuity,finite,metrics_match,bounds_slew
seed42_10_spike_high_oracle.ticks.csv,240,True,True,True,True,True,True
seed42_11_scaling_low_fpr_crp.ticks.csv,240,True,True,True,True,True,True
seed42_11_scaling_low_mean.ticks.csv,240,True,True,True,True,True,True
seed42_11_scaling_low_oracle.ticks.csv,240,True,True,True,True,True,True
seed42_12_scaling_high_fpr_crp.ticks.csv,240,True,True,True,True,True,True
seed42_12_scaling_high_mean.ticks.csv,240,True,True,True,True,True,True
seed42_12_scaling_high_oracle.ticks.csv,240,True,True,True,True,True,True
seed42_13_stuck_low_fpr_crp.ticks.csv,240,True,True,True,True,True,True
seed42_13_stuck_low_mean.ticks.csv,240,True,True,True,True,True,True
seed42_13_stuck_low_oracle.ticks.csv,240,True,True,True,True,True,True
seed42_14_stuck_high_fpr_crp.ticks.csv,240,True,True,True,True,True,True
seed42_14_stuck_high_mean.ticks.csv,240,True,True,True,True,True,True
seed42_14_stuck_high_oracle.ticks.csv,240,True,True,True,True,True,True
