scenario,suite,seed,attack_type,attack_ratio,sensor_noise_level,sensors_per_group,alpha,beta,method,mae,rmse,median_absolute_error,p95_absolute_error,max_absolute_error
full_seed101_bias_0p3_noise0p1_s5_a0p2_b0p7,full,101,bias,0.3,0.1,5,0.2,0.7,fpr_owa,2.30536101452348,2.4712255721894447,2.3481020394723235,3.8571291544026294,4.0216626430085265
full_seed101_bias_0p3_noise0p1_s5_a0p2_b0p7,full,101,bias,0.3,0.1,5,0.2,0.7,crp,2.224164548574848,2.3967364444781225,2.2153800432842887,3.890973561343059,4.490239187463662
full_seed101_bias_0p3_noise0p1_s9_a0p2_b0p7,full,101,bias,0.3,0.1,9,0.2,0.7,fpr_owa,1.9339695944024526,1.9961326502195806,1.9363661174634559,2.728483033155865,2.8856628646521503
full_seed101_bias_0p3_noise0p1_s9_a0p2_b0p7,full,101,bias,0.3,0.1,9,0.2,0.7,crp,1.8921883251334413,1.9610835481372109,1.889936889802875,2.7722228131060596,3.1927089750683533
full_seed101_bias_0p3_noise0p25_s13_a0p2_b0p7,full,101,bias,0.3,0.25,13,0.2,0.7,fpr_owa,1.2117147620169,1.2538455678435623,1.208536474943161,1.7632989542236357,2.2648107955012766
full_seed101_bias_0p3_noise0p25_s13_a0p2_b0p7,full,101,bias,0.3,0.25,13,0.2,0.7,crp,1.1365932201372766,1.2110256176753056,1.1357303431578676,1.7818238700754359,2.2111777228849046
full_seed101_bias_0p3_noise0p25_s5_a0p2_b0p7,full,101,bias,0.3,0.25,5,0.2,0.7,fpr_owa,2.26426460786899,2.4320440648265857,2.2895568640239308,3.755877172272047,4.089892749263723
full_seed101_bias_0p3_noise0p25_s5_a0p2_b0p7,full,101,bias,0.3,0.25,5,0.2,0.7,crp,2.1737739977840915,2.3663223800101214,2.008995929064179,3.8560087896652147,5.723833454378739
full_seed101_bias_0p3_noise0p25_s9_a0p2_b0p7,full,101,bias,0.3,0.25,9,0.2,0.7,fpr_owa,1.9182759041184776,1.9957437812873762,1.935348055667319,2.764961302244434,3.8957933064215537
full_seed101_bias_0p3_noise0p25_s9_a0p2_b0p7,full,101,bias,0.3,0.25,9,0.2,0.7,crp,1.900427836933912,2.0031941575004746,1.8274273959637504,2.9314390861269692,4.222277267502045
full_seed101_bias_0p3_noise0p5_s13_a0p2_b0p7,full,101,bias,0.3,0.5,13,0.2,0.7,fpr_owa,1.2557508118206528,1.3216023844538252,1.240801419563994,2.0152740855328455,2.434935337336376
full_seed101_bias_0p3_noise0p5_s13_a0p2_b0p7,full,101,bias,0.3,0.5,13,0.2,0.7,crp,1.3551764737626537,1.550085393355517,1.2113025329499312,2.425121196009382,5.1447909399062794
full_seed101_bias_0p3_noise0p5_s5_a0p2_b0p7,full,101,bias,0.3,0.5,5,0.2,0.7,fpr_owa,2.1981102249790547,2.366284580931799,2.2217596921489497,3.6526923030679934,4.2444033251955195
full_seed101_bias_0p3_noise0p5_s5_a0p2_b0p7,full,101,bias,0.3,0.5,5,0.2,0.7,crp,2.1448392181738627,2.363440937415647,1.9196515483931338,4.170150982214604,5.729916351373929
full_seed101_bias_0p3_noise0p5_s9_a0p2_b0p7,full,101,bias,0.3,0.5,9,0.2,0.7,fpr_owa,1.9343278911313078,2.046380167141249,1.917694370698539,3.02409587590058,4.3679460570713315
full_seed101_bias_0p3_noise0p5_s9_a0p2_b0p7,full,101,bias,0.3,0.5,9,0.2,0.7,crp,1.9679523635735245,2.13782383003971,1.8344206558582044,3.691593494300927,5.1517200050168155
full_seed101_bias_0p4_noise0p1_s13_a0p2_b0p7,full,101,bias,0.4,0.1,13,0.2,0.7,fpr_owa,1.507802291813456,1.5930028192464074,1.5274600531484552,2.2572720466494856,2.3901958623710113
full_seed101_bias_0p4_noise0p1_s13_a0p2_b0p7,full,101,bias,0.4,0.1,13,0.2,0.7,crp,1.418860954546105,1.527154378159847,1.422011000960279,2.3422226999981755,2.7838193775567586
full_seed101_bias_0p4_noise0p1_s5_a0p2_b0p7,full,101,bias,0.4,0.1,5,0.2,0.7,fpr_owa,2.30536101452348,2.4712255721894447,2.3481020394723235,3.8571291544026294,4.0216626430085265
full_seed101_bias_0p4_noise0p1_s5_a0p2_b0p7,full,101,bias,0.4,0.1,5,0.2,0.7,crp,2.224164548574848,2.3967364444781225,2.2153800432842887,3.890973561343059,4.490239187463662
full_seed101_bias_0p4_noise0p1_s9_a0p2_b0p7,full,101,bias,0.4,0.1,9,0.2,0.7,fpr_owa,2.2867076924949545,2.4305092222087477,2.2704013710352573,3.6034584016397457,3.7651752965080365
full_seed101_bias_0p4_noise0p1_s9_a0p2_b0p7,full,101,bias,0.4,0.1,9,0.2,0.7,crp,2.294001786592702,2.474599947832169,2.1672997873285436,3.7585651810743466,5.371791017053186
full_seed101_bias_0p4_noise0p25_s13_a0p2_b0p7,full,101,bias,0.4,0.25,13,0.2,0.7,fpr_owa,1.5029131863391205,1.585721425860236,1.59037821855466,2.2446512541888852,2.8801954108858925
full_seed101_bias_0p4_noise0p25_s13_a0p2_b0p7,full,101,bias,0.4,0.25,13,0.2,0.7,crp,1.4373024945236272,1.5958822722867256,1.390429021280768,2.579632972134355,5.316654649627567
full_seed101_bias_0p4_noise0p25_s5_a0p2_b0p7,full,101,bias,0.4,0.25,5,0.2,0.7,fpr_owa,2.26426460786899,2.4320440648265857,2.2895568640239308,3.755877172272047,4.089892749263723
full_seed101_bias_0p4_noise0p25_s5_a0p2_b0p7,full,101,bias,0.4,0.25,5,0.2,0.7,crp,2.1737739977840915,2.3663223800101214,2.008995929064179,3.8560087896652147,5.723833454378739
full_seed101_bias_0p4_noise0p25_s9_a0p2_b0p7,full,101,bias,0.4,0.25,9,0.2,0.7,fpr_owa,2.269331180320983,2.430079490102679,2.2398437230461936,3.6394237012477975,4.722180944750449
full_seed101_bias_0p4_noise0p25_s9_a0p2_b0p7,full,101,bias,0.4,0.25,9,0.2,0.7,crp,2.268074266486434,2.4787104656603307,2.123819918194182,4.347249794786939,5.292926699926484
full_seed101_bias_0p4_noise0p5_s13_a0p2_b0p7,full,101,bias,0.4,0.5,13,0.2,0.7,fpr_owa,1.5232267064253497,1.625506416578895,1.5086330851759153,2.418472982583172,3.0415067331494625
full_seed101_bias_0p4_noise0p5_s13_a0p2_b0p7,full,101,bias,0.4,0.5,13,0.2,0.7,crp,1.6335194819133119,1.9086051448899262,1.403171273649006,3.8802369465838162,5.475532821832921
full_seed101_bias_0p4_noise0p5_s5_a0p2_b0p7,full,101,bias,0.4,0.5,5,0.2,0.7,fpr_owa,2.1981102249790547,2.366284580931799,2.2217596921489497,3.6526923030679934,4.2444033251955195
full_seed101_bias_0p4_noise0p5_s5_a0p2_b0p7,full,101,bias,0.4,0.5,5,0.2,0.7,crp,2.1448392181738627,2.363440937415647,1.9196515483931338,4.170150982214604,5.729916351373929
full_seed101_bias_0p4_noise0p5_s9_a0p2_b0p7,full,101,bias,0.4,0.5,9,0.2,0.7,fpr_owa,2.3383254903782538,2.570880690051255,2.201482428751464,4.588742343724411,5.221633164003812
full_seed101_bias_0p4_noise0p5_s9_a0p2_b0p7,full,101,bias,0.4,0.5,9,0.2,0.7,crp,2.2876819710002536,2.5729094759571574,1.9771448567025787,4.733222348061205,6.734967404401969
full_seed11_bias_0p0_noise0p1_s13_a0p2_b0p7,full,11,bias,0.0,0.1,13,0.2,0.7,fpr_owa,1.2030380377571297,1.251722441779351,1.2026784507458006,1.6480635543117987,1.7018842003615893
full_seed11_bias_0p0_noise0p1_s13_a0p2_b0p7,full,11,bias,0.0,0.1,13,0.2,0.7,crp,1.1923016131032595,1.241650456299564,1.1996809234949923,1.6368566356805183,1.7018842003615893
full_seed11_bias_0p0_noise0p1_s5_a0p2_b0p7,full,11,bias,0.0,0.1,5,0.2,0.7,fpr_owa,1.7641788435487618,1.8344957748451298,1.6378153881221,2.480498620302904,2.6055396765231316
full_seed11_bias_0p0_noise0p1_s5_a0p2_b0p7,full,11,bias,0.0,0.1,5,0.2,0.7,crp,1.7595234470387051,1.830669539154783,1.6378153881221,2.4811078752419355,2.616528232453659
full_seed11_bias_0p0_noise0p1_s9_a0p2_b0p7,full,11,bias,0.0,0.1,9,0.2,0.7,fpr_owa,1.76382617176232,1.818790851360434,1.646441406201646,2.403961893301196,2.5748263578710615
full_seed11_bias_0p0_noise0p1_s9_a0p2_b0p7,full,11,bias,0.0,0.1,9,0.2,0.7,crp,1.7692191663261745,1.825668705284049,1.6437998973188765,2.4216211084042825,2.5748263578710615
full_seed11_bias_0p0_noise0p25_s13_a0p2_b0p7,full,11,bias,0.0,0.25,13,0.2,0.7,fpr_owa,1.2367405563130776,1.2975391058372567,1.231759497280631,1.7918660933805393,1.9569972867118044
full_seed11_bias_0p0_noise0p25_s13_a0p2_b0p7,full,11,bias,0.0,0.25,13,0.2,0.7,crp,1.2432274408195603,1.3064400011271446,1.2484342887483248,1.83526605124412,2.1561853172669196
full_seed11_bias_0p0_noise0p25_s5_a0p2_b0p7,full,11,bias,0.0,0.25,5,0.2,0.7,fpr_owa,1.768739992363102,1.8408338656066765,1.6648480772683014,2.521330051813962,2.8249633333898125
full_seed11_bias_0p0_noise0p25_s5_a0p2_b0p7,full,11,bias,0.0,0.25,5,0.2,0.7,crp,1.772498896996404,1.8455890200440888,1.6648480772683014,2.5516486310132764,2.796271661390479
full_seed11_bias_0p0_noise0p25_s9_a0p2_b0p7,full,11,bias,0.0,0.25,9,0.2,0.7,fpr_owa,1.7461352404491017,1.8089103731019338,1.645012760945749,2.447591344300196,2.526468902583454
