scenario,suite,seed,attack_type,attack_ratio,sensor_noise_level,sensors_per_group,alpha,beta,mean_rounds,converged_rate,mean_consensus_degree,mean_excluded_per_tick
full_seed101_bias_0p4_noise0p25_s5_a0p2_b0p7,full,101,bias,0.4,0.25,5,0.2,0.7,1.4291666666666667,0.5541666666666667,0.6390730750493963,0.5958333333333333
full_seed101_bias_0p4_noise0p25_s9_a0p2_b0p7,full,101,bias,0.4,0.25,9,0.2,0.7,1.8958333333333333,0.38333333333333336,0.6090887659247262,2.0
full_seed101_bias_0p4_noise0p5_s13_a0p2_b0p7,full,101,bias,0.4,0.5,13,0.2,0.7,2.3,0.1125,0.5119797102793187,5.270833333333333
full_seed101_bias_0p4_noise0p5_s5_a0p2_b0p7,full,101,bias,0.4,0.5,5,0.2,0.7,1.5291666666666666,0.4708333333333333,0.5836315139576845,0.725
full_seed101_bias_0p4_noise0p5_s9_a0p2_b0p7,full,101,bias,0.4,0.5,9,0.2,0.7,2.029166666666667,0.45416666666666666,0.6084160718061692,2.904166666666667
full_seed11_bias_0p0_noise0p1_s13_a0p2_b0p7,full,11,bias,0.0,0.1,13,0.2,0.7,1.1958333333333333,0.0,0.5025069206020495,0.225
full_seed11_bias_0p0_noise0p1_s5_a0p2_b0p7,full,11,bias,0.0,0.1,5,0.2,0.7,1.0416666666666667,0.9166666666666666,0.7763632359153718,0.04583333333333333
full_seed11_bias_0p0_noise0p1_s9_a0p2_b0p7,full,11,bias,0.0,0.1,9,0.2,0.7,1.3125,0.37083333333333335,0.6977603995756232,0.35833333333333334
full_seed11_bias_0p0_noise0p25_s13_a0p2_b0p7,full,11,bias,0.0,0.25,13,0.2,0.7,1.7541666666666667,0.0125,0.5144469317326362,1.1791666666666667
full_seed11_bias_0p0_noise0p25_s5_a0p2_b0p7,full,11,bias,0.0,0.25,5,0.2,0.7,1.1333333333333333,0.7458333333333333,0.7536569764179276,0.15416666666666667
full_seed11_bias_0p0_noise0p25_s9_a0p2_b0p7,full,11,bias,0.0,0.25,9,0.2,0.7,1.5333333333333334,0.4791666666666667,0.6999778828082684,0.65
full_seed11_bias_0p0_noise0p5_s13_a0p2_b0p7,full,11,bias,0.0,0.5,13,0.2,0.7,2.154166666666667,0.1125,0.5640585021073838,3.4916666666666667
full_seed11_bias_0p0_noise0p5_s5_a0p2_b0p7,full,11,bias,0.0,0.5,5,0.2,0.7,1.475,0.6375,0.7267091697501897,0.6
full_seed11_bias_0p0_noise0p5_s9_a0p2_b0p7,full,11,bias,0.0,0.5,9,0.2,0.7,1.9125,0.5208333333333334,0.7007536937778817,1.7583333333333333
