family,case,metric,before,after,delta,display_3dp_changed
main_campaign,full_seed101_spike_0p3_noise0p1_s5_a0p2_b0p7,max_absolute_error,5.6262073281228835,5.627337677622372,0.0011303494994887586,True
main_campaign,full_seed101_spike_0p3_noise0p1_s5_a0p3_b0p8,mae,1.6181612637435088,1.629577356421187,0.011416092677678291,True
main_campaign,full_seed101_spike_0p3_noise0p1_s5_a0p3_b0p8,rmse,1.8969941802131516,1.9063675853492505,0.009373405136098967,True
main_campaign,full_seed101_spike_0p3_noise0p1_s5_a0p3_b0p8,median_absolute_error,1.4794644924972502,1.4815627427455191,0.002098250248268929,True
main_campaign,full_seed101_spike_0p3_noise0p1_s9_a0p2_b0p7,mae,1.6402008821140446,1.6400466604945805,-0.00015422161946410107,False
main_campaign,full_seed101_spike_0p3_noise0p1_s9_a0p2_b0p7,rmse,1.9118173504167266,1.9115840575185243,-0.00023329289820228638,False
main_campaign,full_seed101_spike_0p3_noise0p25_s5_a0p2_b0p7,mae,2.021872989469783,2.0540898953698568,0.032216905900073645,True
main_campaign,full_seed101_spike_0p3_noise0p25_s5_a0p2_b0p7,rmse,2.3904440014619457,2.4312679155295442,0.040823914067598555,True
main_campaign,full_seed101_spike_0p3_noise0p25_s5_a0p2_b0p7,median_absolute_error,1.6536469703547672,1.6565126855930847,0.002865715238317579,True
main_campaign,full_seed101_spike_0p3_noise0p25_s5_a0p2_b0p7,p95_absolute_error,5.121546095075531,5.12489377615926,0.0033476810837287374,True
main_campaign,full_seed101_spike_0p3_noise0p25_s5_a0p2_b0p7,max_absolute_error,5.693539085285035,5.7009430224891045,0.0074039372040690665,True
main_campaign,full_seed101_spike_0p3_noise0p25_s5_a0p3_b0p8,mae,1.5972141553652213,1.6207506761947494,0.023536520829528174,True
main_campaign,full_seed101_spike_0p3_noise0p25_s5_a0p3_b0p8,rmse,1.8804081202435519,1.9061711041292988,0.025762983885746937,True
main_campaign,full_seed101_spike_0p3_noise0p25_s5_a0p3_b0p8,median_absolute_error,1.4562351070157438,1.490455710424453,0.03422060340870914,True
main_campaign,full_seed101_spike_0p3_noise0p25_s5_a0p3_b0p8,p95_absolute_error,3.57719533071889,3.5812002992261296,0.004004968507239415,True
main_campaign,full_seed101_spike_0p3_noise0p5_s5_a0p2_b0p7,mae,2.0467451097848413,2.0344664850395318,-0.012278624745309497,True
main_campaign,full_seed101_spike_0p3_noise0p5_s5_a0p2_b0p7,rmse,2.44836115009798,2.4320818995761027,-0.016279250521877398,True
main_campaign,full_seed101_spike_0p3_noise0p5_s5_a0p3_b0p8,mae,1.6448373649060661,1.6329972302407378,-0.011840134665328295,True
main_campaign,full_seed101_spike_0p3_noise0p5_s5_a0p3_b0p8,rmse,1.932562854545384,1.922626550881186,-0.009936303664197954,True
main_campaign,full_seed101_spike_0p3_noise0p5_s5_a0p3_b0p8,median_absolute_error,1.5261868228243163,1.5168668075724772,-0.00932001525183912,True
main_campaign,full_seed101_spike_0p4_noise0p1_s5_a0p2_b0p7,mae,2.0459419884601413,2.0584452024122672,0.012503213952125947,True
main_campaign,full_seed101_spike_0p4_noise0p1_s5_a0p2_b0p7,rmse,2.4071527746269226,2.4240631325992656,0.016910357972343082,True
main_campaign,full_seed101_spike_0p4_noise0p1_s5_a0p2_b0p7,max_absolute_error,5.6262073281228835,5.627337677622372,0.0011303494994887586,True
main_campaign,full_seed101_spike_0p4_noise0p1_s5_a0p3_b0p8,mae,1.6181612637435088,1.629577356421187,0.011416092677678291,True
main_campaign,full_seed101_spike_0p4_noise0p1_s5_a0p3_b0p8,rmse,1.8969941802131516,1.9063675853492505,0.009373405136098967,True
main_campaign,full_seed101_spike_0p4_noise0p1_s5_a0p3_b0p8,median_absolute_error,1.4794644924972502,1.4815627427455191,0.002098250248268929,True
main_campaign,full_seed101_spike_0p4_noise0p25_s5_a0p2_b0p7,mae,2.021872989469783,2.0540898953698568,0.032216905900073645,True
main_campaign,full_seed101_spike_0p4_noise0p25_s5_a0p2_b0p7,rmse,2.3904440014619457,2.4312679155295442,0.040823914067598555,True
main_campaign,full_seed101_spike_0p4_noise0p25_s5_a0p2_b0p7,median_absolute_error,1.6536469703547672,1.6565126855930847,0.002865715238317579,True
main_campaign,full_seed101_spike_0p4_noise0p25_s5_a0p2_b0p7,p95_absolute_error,5.121546095075531,5.12489377615926,0.0033476810837287374,True
