family,case,tick,exact_tie,tie_distinct_measurements,order_changed,aggregate_delta
main_campaign,full_seed11_spike_0p3_noise0p5_s5_a0p2_b0p7,161,True,True,True,0.2581736824416243
main_campaign,full_seed11_spike_0p3_noise0p5_s5_a0p3_b0p8,161,True,True,True,0.12908684122081215
main_campaign,full_seed11_spike_0p4_noise0p1_s5_a0p2_b0p7,94,True,True,True,0.22783418286224322
main_campaign,full_seed11_spike_0p4_noise0p1_s5_a0p2_b0p7,104,True,True,True,6.5858981787056425
main_campaign,full_seed11_spike_0p4_noise0p1_s5_a0p2_b0p7,156,True,True,True,0.16322093701258567
main_campaign,full_seed11_spike_0p4_noise0p1_s5_a0p2_b0p7,161,True,True,True,0.06481679838719057
main_campaign,full_seed11_spike_0p4_noise0p1_s5_a0p2_b0p7,164,True,True,True,6.440647604222498
main_campaign,full_seed11_spike_0p4_noise0p1_s5_a0p2_b0p7,166,True,True,True,-6.450911585726171
main_campaign,full_seed11_spike_0p4_noise0p1_s5_a0p3_b0p8,94,True,True,True,0.11391709143112161
main_campaign,full_seed11_spike_0p4_noise0p1_s5_a0p3_b0p8,104,True,True,True,3.292949089352822
main_campaign,full_seed11_spike_0p4_noise0p1_s5_a0p3_b0p8,156,True,True,True,0.08161046850629283
main_campaign,full_seed11_spike_0p4_noise0p1_s5_a0p3_b0p8,161,True,True,True,0.03240839919359573
main_campaign,full_seed11_spike_0p4_noise0p1_s5_a0p3_b0p8,164,True,True,True,3.2203238021112495
main_campaign,full_seed11_spike_0p4_noise0p1_s5_a0p3_b0p8,166,True,True,True,-3.2254557928630856
main_campaign,full_seed11_spike_0p4_noise0p25_s5_a0p2_b0p7,150,True,True,True,6.4427623889258605
main_campaign,full_seed11_spike_0p4_noise0p25_s5_a0p2_b0p7,161,True,True,True,0.13732562990760222
main_campaign,full_seed11_spike_0p4_noise0p25_s5_a0p3_b0p8,150,True,True,True,3.2213811944629307
main_campaign,full_seed11_spike_0p4_noise0p25_s5_a0p3_b0p8,161,True,True,True,0.06866281495380111
main_campaign,full_seed11_spike_0p4_noise0p5_s5_a0p2_b0p7,161,True,True,True,0.2581736824416243
main_campaign,full_seed11_spike_0p4_noise0p5_s5_a0p3_b0p8,161,True,True,True,0.12908684122081215
main_campaign,full_seed42_bias_0p3_noise0p1_s5_a0p2_b0p7,166,True,True,True,0.04206148018778588
main_campaign,full_seed42_bias_0p3_noise0p1_s5_a0p3_b0p8,166,True,True,True,0.021030740093893385
main_campaign,full_seed42_bias_0p4_noise0p1_s5_a0p2_b0p7,166,True,True,True,0.04206148018778588
main_campaign,full_seed42_bias_0p4_noise0p1_s5_a0p3_b0p8,166,True,True,True,0.021030740093893385
main_campaign,full_seed42_mixed_0p3_noise0p1_s5_a0p2_b0p7,149,True,True,True,6.0040820578972625
main_campaign,full_seed42_mixed_0p3_noise0p1_s5_a0p2_b0p7,155,True,True,True,6.055637267211695
main_campaign,full_seed42_mixed_0p3_noise0p1_s5_a0p3_b0p8,149,True,True,True,3.0020410289486312
main_campaign,full_seed42_mixed_0p3_noise0p1_s5_a0p3_b0p8,155,True,True,True,3.0278186336058477
main_campaign,full_seed42_mixed_0p4_noise0p1_s5_a0p2_b0p7,149,True,True,True,6.0040820578972625
main_campaign,full_seed42_mixed_0p4_noise0p1_s5_a0p2_b0p7,155,True,True,True,6.055637267211695
main_campaign,full_seed42_mixed_0p4_noise0p1_s5_a0p3_b0p8,149,True,True,True,3.0020410289486312
main_campaign,full_seed42_mixed_0p4_noise0p1_s5_a0p3_b0p8,155,True,True,True,3.0278186336058477
main_campaign,full_seed42_spike_0p3_noise0p1_s5_a0p2_b0p7,93,True,True,True,-6.698453819722604
main_campaign,full_seed42_spike_0p3_noise0p1_s5_a0p2_b0p7,102,True,True,True,-0.017035028792069085
main_campaign,full_seed42_spike_0p3_noise0p1_s5_a0p2_b0p7,104,True,True,True,6.47013291076858
main_campaign,full_seed42_spike_0p3_noise0p1_s5_a0p2_b0p7,149,True,True,True,-6.79591794210274
main_campaign,full_seed42_spike_0p3_noise0p1_s5_a0p2_b0p7,156,True,True,True,0.12234311883855264
main_campaign,full_seed42_spike_0p3_noise0p1_s5_a0p2_b0p7,163,True,True,True,6.415760233598375
main_campaign,full_seed42_spike_0p3_noise0p1_s5_a0p2_b0p7,164,True,True,True,0.012789750899859342
main_campaign,full_seed42_spike_0p3_noise0p1_s5_a0p2_b0p7,165,True,True,True,-0.02538666246717458
main_campaign,full_seed42_spike_0p3_noise0p1_s5_a0p2_b0p7,166,True,True,True,-6.3579385198122145
main_campaign,full_seed42_spike_0p3_noise0p1_s5_a0p2_b0p7,173,True,True,True,6.468543646965771
main_campaign,full_seed42_spike_0p3_noise0p1_s5_a0p2_b0p7,179,True,True,True,-6.442613517018984
main_campaign,full_seed42_spike_0p3_noise0p1_s5_a0p3_b0p8,93,True,True,True,-3.3492269098613026
main_campaign,full_seed42_spike_0p3_noise0p1_s5_a0p3_b0p8,102,True,True,True,-0.008517514396034542
main_campaign,full_seed42_spike_0p3_noise0p1_s5_a0p3_b0p8,104,True,True,True,3.235066455384291
main_campaign,full_seed42_spike_0p3_noise0p1_s5_a0p3_b0p8,149,True,True,True,-3.397958971051371
main_campaign,full_seed42_spike_0p3_noise0p1_s5_a0p3_b0p8,156,True,True,True,0.06117155941927632
main_campaign,full_seed42_spike_0p3_noise0p1_s5_a0p3_b0p8,163,True,True,True,3.2078801167991884
main_campaign,full_seed42_spike_0p3_noise0p1_s5_a0p3_b0p8,164,True,True,True,0.006394875449929671
main_campaign,full_seed42_spike_0p3_noise0p1_s5_a0p3_b0p8,165,True,True,True,-0.012693331233587513
main_campaign,full_seed42_spike_0p3_noise0p1_s5_a0p3_b0p8,166,True,True,True,-3.1789692599061077
main_campaign,full_seed42_spike_0p3_noise0p1_s5_a0p3_b0p8,173,True,True,True,3.234271823482886
main_campaign,full_seed42_spike_0p3_noise0p1_s5_a0p3_b0p8,179,True,True,True,-3.2213067585094928
main_campaign,full_seed42_spike_0p4_noise0p1_s5_a0p2_b0p7,93,True,True,True,-6.698453819722604
main_campaign,full_seed42_spike_0p4_noise0p1_s5_a0p2_b0p7,102,True,True,True,-0.017035028792069085
main_campaign,full_seed42_spike_0p4_noise0p1_s5_a0p2_b0p7,104,True,True,True,6.47013291076858
main_campaign,full_seed42_spike_0p4_noise0p1_s5_a0p2_b0p7,149,True,True,True,-6.79591794210274
main_campaign,full_seed42_spike_0p4_noise0p1_s5_a0p2_b0p7,156,True,True,True,0.12234311883855264
main_campaign,full_seed42_spike_0p4_noise0p1_s5_a0p2_b0p7,163,True,True,True,6.415760233598375
main_campaign,full_seed42_spike_0p4_noise0p1_s5_a0p2_b0p7,164,True,True,True,0.012789750899859342
main_campaign,full_seed42_spike_0p4_noise0p1_s5_a0p2_b0p7,165,True,True,True,-0.02538666246717458
main_campaign,full_seed42_spike_0p4_noise0p1_s5_a0p2_b0p7,166,True,True,True,-6.3579385198122145
main_campaign,full_seed42_spike_0p4_noise0p1_s5_a0p2_b0p7,173,True,True,True,6.468543646965771
main_campaign,full_seed42_spike_0p4_noise0p1_s5_a0p2_b0p7,179,True,True,True,-6.442613517018984
main_campaign,full_seed42_spike_0p4_noise0p1_s5_a0p3_b0p8,93,True,True,True,-3.3492269098613026
main_campaign,full_seed42_spike_0p4_noise0p1_s5_a0p3_b0p8,102,True,True,True,-0.008517514396034542
main_campaign,full_seed42_spike_0p4_noise0p1_s5_a0p3_b0p8,104,True,True,True,3.235066455384291
main_campaign,full_seed42_spike_0p4_noise0p1_s5_a0p3_b0p8,149,True,True,True,-3.397958971051371
main_campaign,full_seed42_spike_0p4_noise0p1_s5_a0p3_b0p8,156,True,True,True,0.06117155941927632
main_campaign,full_seed42_spike_0p4_noise0p1_s5_a0p3_b0p8,163,True,True,True,3.2078801167991884
main_campaign,full_seed42_spike_0p4_noise0p1_s5_a0p3_b0p8,164,True,True,True,0.006394875449929671
main_campaign,full_seed42_spike_0p4_noise0p1_s5_a0p3_b0p8,165,True,True,True,-0.012693331233587513
main_campaign,full_seed42_spike_0p4_noise0p1_s5_a0p3_b0p8,166,True,True,True,-3.1789692599061077
main_campaign,full_seed42_spike_0p4_noise0p1_s5_a0p3_b0p8,173,True,True,True,3.234271823482886
main_campaign,full_seed42_spike_0p4_noise0p1_s5_a0p3_b0p8,179,True,True,True,-3.2213067585094928
robust_extension,full_seed101_bias_0p3_noise0p1_s5_a0p2_b0p7,100,True,True,True,-0.08197809991755234
robust_extension,full_seed101_bias_0p3_noise0p1_s5_a0p3_b0p8,100,True,True,True,-0.04098904995877639
robust_extension,full_seed101_bias_0p3_noise0p1_s9_a0p2_b0p7,104,True,True,True,-0.00013744933363923906
robust_extension,full_seed101_bias_0p3_noise0p1_s9_a0p3_b0p8,104,True,True,True,0.0
robust_extension,full_seed101_bias_0p3_noise0p25_s5_a0p2_b0p7,178,True,True,True,-0.1834257940889774
robust_extension,full_seed101_bias_0p3_noise0p25_s5_a0p3_b0p8,178,True,True,True,-0.0917128970444887
robust_extension,full_seed101_bias_0p4_noise0p1_s5_a0p2_b0p7,100,True,True,True,-0.08197809991755234
robust_extension,full_seed101_bias_0p4_noise0p1_s5_a0p3_b0p8,100,True,True,True,-0.04098904995877639
robust_extension,full_seed101_bias_0p4_noise0p25_s5_a0p2_b0p7,178,True,True,True,-0.1834257940889774
robust_extension,full_seed101_bias_0p4_noise0p25_s5_a0p3_b0p8,178,True,True,True,-0.0917128970444887
robust_extension,full_seed101_mixed_0p3_noise0p1_s5_a0p2_b0p7,100,True,True,True,-0.08197809991755234
robust_extension,full_seed101_mixed_0p3_noise0p1_s5_a0p2_b0p7,149,True,True,True,-0.48863591673064466
robust_extension,full_seed101_mixed_0p3_noise0p1_s5_a0p2_b0p7,156,True,True,True,0.20704154218014414
robust_extension,full_seed101_mixed_0p3_noise0p1_s5_a0p3_b0p8,100,True,True,True,-0.04098904995877639
robust_extension,full_seed101_mixed_0p3_noise0p1_s5_a0p3_b0p8,149,True,True,True,-0.24431795836532189
robust_extension,full_seed101_mixed_0p3_noise0p1_s5_a0p3_b0p8,156,True,True,True,0.1035207710900723
robust_extension,full_seed101_mixed_0p3_noise0p25_s5_a0p2_b0p7,147,True,True,True,6.495502734738709
robust_extension,full_seed101_mixed_0p3_noise0p25_s5_a0p3_b0p8,147,True,True,True,3.2477513673693554
robust_extension,full_seed101_mixed_0p3_noise0p5_s5_a0p2_b0p7,142,True,True,True,-0.07059069817674457
robust_extension,full_seed101_mixed_0p3_noise0p5_s5_a0p3_b0p8,142,True,True,True,-0.035295349088372285
robust_extension,full_seed101_mixed_0p4_noise0p1_s5_a0p2_b0p7,100,True,True,True,-0.08197809991755234
robust_extension,full_seed101_mixed_0p4_noise0p1_s5_a0p2_b0p7,149,True,True,True,-0.48863591673064466
robust_extension,full_seed101_mixed_0p4_noise0p1_s5_a0p2_b0p7,156,True,True,True,0.20704154218014414
robust_extension,full_seed101_mixed_0p4_noise0p1_s5_a0p3_b0p8,100,True,True,True,-0.04098904995877639
robust_extension,full_seed101_mixed_0p4_noise0p1_s5_a0p3_b0p8,149,True,True,True,-0.24431795836532189
robust_extension,full_seed101_mixed_0p4_noise0p1_s5_a0p3_b0p8,156,True,True,True,0.1035207710900723
robust_extension,full_seed101_mixed_0p4_noise0p25_s5_a0p2_b0p7,147,True,True,True,6.495502734738709
robust_extension,full_seed101_mixed_0p4_noise0p25_s5_a0p3_b0p8,147,True,True,True,3.2477513673693554
robust_extension,full_seed101_mixed_0p4_noise0p5_s5_a0p2_b0p7,142,True,True,True,-0.07059069817674457
robust_extension,full_seed101_mixed_0p4_noise0p5_s5_a0p3_b0p8,142,True,True,True,-0.035295349088372285
robust_extension,full_seed101_spike_0p3_noise0p1_s5_a0p2_b0p7,94,True,True,True,0.15199673119849688
robust_extension,full_seed101_spike_0p3_noise0p1_s5_a0p2_b0p7,99,True,True,True,-6.428795883148748
robust_extension,full_seed101_spike_0p3_noise0p1_s5_a0p2_b0p7,100,True,True,True,-0.08197809991755234
robust_extension,full_seed101_spike_0p3_noise0p1_s5_a0p2_b0p7,104,True,True,True,0.1951244827037133
robust_extension,full_seed101_spike_0p3_noise0p1_s5_a0p2_b0p7,149,True,True,True,5.911364083269357
robust_extension,full_seed101_spike_0p3_noise0p1_s5_a0p2_b0p7,156,True,True,True,-6.1929584578198575
robust_extension,full_seed101_spike_0p3_noise0p1_s5_a0p2_b0p7,161,True,True,True,6.404291596820788
robust_extension,full_seed101_spike_0p3_noise0p1_s5_a0p2_b0p7,162,True,True,True,6.431672890010667
robust_extension,full_seed101_spike_0p3_noise0p1_s5_a0p2_b0p7,164,True,True,True,-0.03494096341275643
robust_extension,full_seed101_spike_0p3_noise0p1_s5_a0p2_b0p7,178,True,True,True,-0.0733121938477761
robust_extension,full_seed101_spike_0p3_noise0p1_s5_a0p3_b0p8,94,True,True,True,0.07599836559924844
robust_extension,full_seed101_spike_0p3_noise0p1_s5_a0p3_b0p8,99,True,True,True,-3.214397941574375
