scenario,seed,attack_type,attack_ratio,sensor_noise_level,sensors_per_group,alpha,mean_rounds,converged_rate,mean_consensus_degree,mean_excluded_per_tick,beta
full_seed101_bias_0p4_noise0p25_s5_a0p2_b0p7,101,bias,0.4,0.25,5,0.2,1.0625,0.6291666666666667,0.6903085631859899,0.0833333333333333,0.7
full_seed101_bias_0p4_noise0p25_s5_a0p3_b0p8,101,bias,0.4,0.25,5,0.3,1.0625,0.6291666666666667,0.6903085631859899,0.0833333333333333,0.8
full_seed101_bias_0p4_noise0p25_s9_a0p2_b0p7,101,bias,0.4,0.25,9,0.2,1.0625,0.6083333333333333,0.6417645799872979,0.1166666666666666,0.7
full_seed101_bias_0p4_noise0p25_s9_a0p3_b0p8,101,bias,0.4,0.25,9,0.3,1.0625,0.6083333333333333,0.6417645799872979,0.1166666666666666,0.8
full_seed101_bias_0p4_noise0p5_s13_a0p2_b0p7,101,bias,0.4,0.5,13,0.2,1.3958333333333333,0.3,0.5742784980773602,0.7041666666666667,0.7
full_seed101_bias_0p4_noise0p5_s13_a0p3_b0p8,101,bias,0.4,0.5,13,0.3,1.3958333333333333,0.3,0.5742784980773602,0.7041666666666667,0.8
full_seed101_bias_0p4_noise0p5_s5_a0p2_b0p7,101,bias,0.4,0.5,5,0.2,1.1833333333333331,0.6458333333333334,0.68257854525406,0.2125,0.7
full_seed101_bias_0p4_noise0p5_s5_a0p3_b0p8,101,bias,0.4,0.5,5,0.3,1.1833333333333331,0.6458333333333334,0.68257854525406,0.2125,0.8
full_seed101_bias_0p4_noise0p5_s9_a0p2_b0p7,101,bias,0.4,0.5,9,0.2,1.2708333333333333,0.5375,0.6262908600460577,0.4166666666666667,0.7
full_seed101_bias_0p4_noise0p5_s9_a0p3_b0p8,101,bias,0.4,0.5,9,0.3,1.2708333333333333,0.5375,0.6262908600460577,0.4166666666666667,0.8
full_seed101_drift_0p0_noise0p1_s13_a0p2_b0p7,101,drift,0.0,0.1,13,0.2,1.0,0.6166666666666667,0.7316503450568228,0.0,0.7
full_seed101_drift_0p0_noise0p1_s13_a0p3_b0p8,101,drift,0.0,0.1,13,0.3,1.0,0.6166666666666667,0.7316503450568228,0.0,0.8
full_seed101_drift_0p0_noise0p1_s5_a0p2_b0p7,101,drift,0.0,0.1,5,0.2,1.0,1.0,0.885706398181517,0.0,0.7
full_seed101_drift_0p0_noise0p1_s5_a0p3_b0p8,101,drift,0.0,0.1,5,0.3,1.0,1.0,0.885706398181517,0.0,0.8
full_seed101_drift_0p0_noise0p1_s9_a0p2_b0p7,101,drift,0.0,0.1,9,0.2,1.0,1.0,0.8165671065630927,0.0,0.7
full_seed101_drift_0p0_noise0p1_s9_a0p3_b0p8,101,drift,0.0,0.1,9,0.3,1.0,1.0,0.8165671065630927,0.0,0.8
full_seed101_drift_0p0_noise0p25_s13_a0p2_b0p7,101,drift,0.0,0.25,13,0.2,1.0,0.5708333333333333,0.7165146728230357,0.0,0.7
full_seed101_drift_0p0_noise0p25_s13_a0p3_b0p8,101,drift,0.0,0.25,13,0.3,1.0,0.5708333333333333,0.7165146728230357,0.0,0.8
full_seed101_drift_0p0_noise0p25_s5_a0p2_b0p7,101,drift,0.0,0.25,5,0.2,1.0,0.9958333333333332,0.867281571473503,0.0,0.7
full_seed101_drift_0p0_noise0p25_s5_a0p3_b0p8,101,drift,0.0,0.25,5,0.3,1.0,0.9958333333333332,0.867281571473503,0.0,0.8
full_seed101_drift_0p0_noise0p25_s9_a0p2_b0p7,101,drift,0.0,0.25,9,0.2,1.0,1.0,0.8020202165237822,0.0,0.7
full_seed101_drift_0p0_noise0p25_s9_a0p3_b0p8,101,drift,0.0,0.25,9,0.3,1.0,1.0,0.8020202165237822,0.0,0.8
full_seed101_drift_0p0_noise0p5_s13_a0p2_b0p7,101,drift,0.0,0.5,13,0.2,1.1583333333333334,0.4541666666666666,0.6915835190606209,0.175,0.7
full_seed101_drift_0p0_noise0p5_s13_a0p3_b0p8,101,drift,0.0,0.5,13,0.3,1.1583333333333334,0.4541666666666666,0.6915835190606209,0.175,0.8
full_seed101_drift_0p0_noise0p5_s5_a0p2_b0p7,101,drift,0.0,0.5,5,0.2,1.0041666666666669,0.9625,0.8179292501741884,0.0041666666666666,0.7
full_seed101_drift_0p0_noise0p5_s5_a0p3_b0p8,101,drift,0.0,0.5,5,0.3,1.0041666666666669,0.9625,0.8179292501741884,0.0041666666666666,0.8
full_seed101_drift_0p0_noise0p5_s9_a0p2_b0p7,101,drift,0.0,0.5,9,0.2,1.0541666666666667,0.8958333333333334,0.7678894253132152,0.0541666666666666,0.7
full_seed101_drift_0p0_noise0p5_s9_a0p3_b0p8,101,drift,0.0,0.5,9,0.3,1.0541666666666667,0.8958333333333334,0.7678894253132152,0.0541666666666666,0.8
full_seed101_drift_0p1_noise0p1_s13_a0p2_b0p7,101,drift,0.1,0.1,13,0.2,1.0041666666666669,0.5791666666666667,0.7148759717737083,0.0041666666666666,0.7
full_seed101_drift_0p1_noise0p1_s13_a0p3_b0p8,101,drift,0.1,0.1,13,0.3,1.0041666666666669,0.5791666666666667,0.7148759717737083,0.0041666666666666,0.8
full_seed101_drift_0p1_noise0p1_s5_a0p2_b0p7,101,drift,0.1,0.1,5,0.2,1.0,1.0,0.885706398181517,0.0,0.7
full_seed101_drift_0p1_noise0p1_s5_a0p3_b0p8,101,drift,0.1,0.1,5,0.3,1.0,1.0,0.885706398181517,0.0,0.8
full_seed101_drift_0p1_noise0p1_s9_a0p2_b0p7,101,drift,0.1,0.1,9,0.2,1.0,0.9,0.7929067308547209,0.0,0.7
full_seed101_drift_0p1_noise0p1_s9_a0p3_b0p8,101,drift,0.1,0.1,9,0.3,1.0,0.9,0.7929067308547209,0.0,0.8
full_seed101_drift_0p1_noise0p25_s13_a0p2_b0p7,101,drift,0.1,0.25,13,0.2,1.0166666666666666,0.525,0.7011332572097022,0.0166666666666666,0.7
full_seed101_drift_0p1_noise0p25_s13_a0p3_b0p8,101,drift,0.1,0.25,13,0.3,1.0166666666666666,0.525,0.7011332572097022,0.0166666666666666,0.8
full_seed101_drift_0p1_noise0p25_s5_a0p2_b0p7,101,drift,0.1,0.25,5,0.2,1.0,0.9958333333333332,0.867281571473503,0.0,0.7
full_seed101_drift_0p1_noise0p25_s5_a0p3_b0p8,101,drift,0.1,0.25,5,0.3,1.0,0.9958333333333332,0.867281571473503,0.0,0.8
full_seed101_drift_0p1_noise0p25_s9_a0p2_b0p7,101,drift,0.1,0.25,9,0.2,1.0083333333333333,0.9,0.7812229117564684,0.0083333333333333,0.7
full_seed101_drift_0p1_noise0p25_s9_a0p3_b0p8,101,drift,0.1,0.25,9,0.3,1.0083333333333333,0.9,0.7812229117564684,0.0083333333333333,0.8
full_seed101_drift_0p1_noise0p5_s13_a0p2_b0p7,101,drift,0.1,0.5,13,0.2,1.1958333333333333,0.3791666666666666,0.6795352220953036,0.2208333333333333,0.7
full_seed101_drift_0p1_noise0p5_s13_a0p3_b0p8,101,drift,0.1,0.5,13,0.3,1.1958333333333333,0.3791666666666666,0.6795352220953036,0.2208333333333333,0.8
full_seed101_drift_0p1_noise0p5_s5_a0p2_b0p7,101,drift,0.1,0.5,5,0.2,1.0041666666666669,0.9625,0.8179292501741884,0.0041666666666666,0.7
full_seed101_drift_0p1_noise0p5_s5_a0p3_b0p8,101,drift,0.1,0.5,5,0.3,1.0041666666666669,0.9625,0.8179292501741884,0.0041666666666666,0.8
full_seed101_drift_0p1_noise0p5_s9_a0p2_b0p7,101,drift,0.1,0.5,9,0.2,1.0875,0.8083333333333333,0.7536520991003027,0.0916666666666666,0.7
full_seed101_drift_0p1_noise0p5_s9_a0p3_b0p8,101,drift,0.1,0.5,9,0.3,1.0875,0.8083333333333333,0.7536520991003027,0.0916666666666666,0.8
full_seed101_drift_0p2_noise0p1_s13_a0p2_b0p7,101,drift,0.2,0.1,13,0.2,1.0,0.4583333333333333,0.6881637701057459,0.0,0.7
full_seed101_drift_0p2_noise0p1_s13_a0p3_b0p8,101,drift,0.2,0.1,13,0.3,1.0,0.4583333333333333,0.6881637701057459,0.0,0.8
full_seed101_drift_0p2_noise0p1_s5_a0p2_b0p7,101,drift,0.2,0.1,5,0.2,1.0,0.9208333333333332,0.8438839346948087,0.0,0.7
full_seed101_drift_0p2_noise0p1_s5_a0p3_b0p8,101,drift,0.2,0.1,5,0.3,1.0,0.9208333333333332,0.8438839346948087,0.0,0.8
full_seed101_drift_0p2_noise0p1_s9_a0p2_b0p7,101,drift,0.2,0.1,9,0.2,1.0,0.8416666666666667,0.7748827996129461,0.0,0.7
full_seed101_drift_0p2_noise0p1_s9_a0p3_b0p8,101,drift,0.2,0.1,9,0.3,1.0,0.8416666666666667,0.7748827996129461,0.0,0.8
full_seed101_drift_0p2_noise0p25_s13_a0p2_b0p7,101,drift,0.2,0.25,13,0.2,1.0208333333333333,0.4166666666666667,0.6753671426129079,0.0208333333333333,0.7
full_seed101_drift_0p2_noise0p25_s13_a0p3_b0p8,101,drift,0.2,0.25,13,0.3,1.0208333333333333,0.4166666666666667,0.6753671426129079,0.0208333333333333,0.8
full_seed101_drift_0p2_noise0p25_s5_a0p2_b0p7,101,drift,0.2,0.25,5,0.2,1.0041666666666669,0.9,0.830006846527994,0.0041666666666666,0.7
full_seed101_drift_0p2_noise0p25_s5_a0p3_b0p8,101,drift,0.2,0.25,5,0.3,1.0041666666666669,0.9,0.830006846527994,0.0041666666666666,0.8
full_seed101_drift_0p2_noise0p25_s9_a0p2_b0p7,101,drift,0.2,0.25,9,0.2,1.0125,0.8416666666666667,0.7638695619347494,0.0125,0.7
full_seed101_drift_0p2_noise0p25_s9_a0p3_b0p8,101,drift,0.2,0.25,9,0.3,1.0125,0.8416666666666667,0.7638695619347494,0.0125,0.8
full_seed101_drift_0p2_noise0p5_s13_a0p2_b0p7,101,drift,0.2,0.5,13,0.2,1.2208333333333334,0.325,0.6570395880358881,0.2708333333333333,0.7
full_seed101_drift_0p2_noise0p5_s13_a0p3_b0p8,101,drift,0.2,0.5,13,0.3,1.2208333333333334,0.325,0.6570395880358881,0.2708333333333333,0.8
full_seed101_drift_0p2_noise0p5_s5_a0p2_b0p7,101,drift,0.2,0.5,5,0.2,1.0291666666666666,0.8708333333333333,0.7916730433750525,0.0291666666666666,0.7
full_seed101_drift_0p2_noise0p5_s5_a0p3_b0p8,101,drift,0.2,0.5,5,0.3,1.0291666666666666,0.8708333333333333,0.7916730433750525,0.0291666666666666,0.8
full_seed101_drift_0p2_noise0p5_s9_a0p2_b0p7,101,drift,0.2,0.5,9,0.2,1.0916666666666666,0.7166666666666667,0.7382953796511719,0.1,0.7
full_seed101_drift_0p2_noise0p5_s9_a0p3_b0p8,101,drift,0.2,0.5,9,0.3,1.0916666666666666,0.7166666666666667,0.7382953796511719,0.1,0.8
full_seed101_drift_0p3_noise0p1_s13_a0p2_b0p7,101,drift,0.3,0.1,13,0.2,1.0,0.4458333333333333,0.6791259460747023,0.0,0.7
full_seed101_drift_0p3_noise0p1_s13_a0p3_b0p8,101,drift,0.3,0.1,13,0.3,1.0,0.4458333333333333,0.6791259460747023,0.0,0.8
full_seed101_drift_0p3_noise0p1_s5_a0p2_b0p7,101,drift,0.3,0.1,5,0.2,1.0,0.8416666666666667,0.8225147896419408,0.0,0.7
full_seed101_drift_0p3_noise0p1_s5_a0p3_b0p8,101,drift,0.3,0.1,5,0.3,1.0,0.8416666666666667,0.8225147896419408,0.0,0.8
full_seed101_drift_0p3_noise0p1_s9_a0p2_b0p7,101,drift,0.3,0.1,9,0.2,1.0,0.7916666666666666,0.7626372312236985,0.0,0.7
full_seed101_drift_0p3_noise0p1_s9_a0p3_b0p8,101,drift,0.3,0.1,9,0.3,1.0,0.7916666666666666,0.7626372312236985,0.0,0.8
full_seed101_drift_0p3_noise0p25_s13_a0p2_b0p7,101,drift,0.3,0.25,13,0.2,1.0041666666666669,0.4083333333333333,0.6656566334052331,0.0041666666666666,0.7
full_seed101_drift_0p3_noise0p25_s13_a0p3_b0p8,101,drift,0.3,0.25,13,0.3,1.0041666666666669,0.4083333333333333,0.6656566334052331,0.0041666666666666,0.8
full_seed101_drift_0p3_noise0p25_s5_a0p2_b0p7,101,drift,0.3,0.25,5,0.2,1.0,0.8208333333333333,0.8075129654928387,0.0,0.7
full_seed101_drift_0p3_noise0p25_s5_a0p3_b0p8,101,drift,0.3,0.25,5,0.3,1.0,0.8208333333333333,0.8075129654928387,0.0,0.8
full_seed101_drift_0p3_noise0p25_s9_a0p2_b0p7,101,drift,0.3,0.25,9,0.2,1.0166666666666666,0.7875,0.7525482043663849,0.0166666666666666,0.7
full_seed101_drift_0p3_noise0p25_s9_a0p3_b0p8,101,drift,0.3,0.25,9,0.3,1.0166666666666666,0.7875,0.7525482043663849,0.0166666666666666,0.8
full_seed101_drift_0p3_noise0p5_s13_a0p2_b0p7,101,drift,0.3,0.5,13,0.2,1.2291666666666667,0.3166666666666666,0.6482875255129879,0.2875,0.7
