scenario,seed,attack_type,attack_ratio,sensor_noise_level,sensors_per_group,alpha,method,mae,rmse,median_absolute_error,p95_absolute_error,max_absolute_error,beta
full_seed101_bias_0p1_noise0p1_s5_a0p3_b0p8,101,bias,0.1,0.1,5,0.3,fpr_owa,1.7626268134227294,1.838567579606963,1.6659867656620362,2.496622538502625,2.5856445900776754,0.8
full_seed101_bias_0p1_noise0p1_s5_a0p3_b0p8,101,bias,0.1,0.1,5,0.3,crp,1.7626268134227294,1.838567579606963,1.6659867656620362,2.496622538502625,2.5856445900776754,0.8
full_seed101_bias_0p1_noise0p1_s9_a0p2_b0p7,101,bias,0.1,0.1,9,0.2,fpr_owa,1.7131557465842209,1.7607889024167125,1.6216881717871552,2.3895547005391755,2.6068524826656265,0.7
full_seed101_bias_0p1_noise0p1_s9_a0p2_b0p7,101,bias,0.1,0.1,9,0.2,crp,1.7513530521853915,1.804028824743104,1.6409784210119405,2.3981483074830336,2.6068524826656265,0.7
full_seed101_bias_0p1_noise0p1_s9_a0p3_b0p8,101,bias,0.1,0.1,9,0.3,fpr_owa,1.744239095612078,1.810534899220776,1.6160641797705488,2.4780983731805595,2.539427961443164,0.8
full_seed101_bias_0p1_noise0p1_s9_a0p3_b0p8,101,bias,0.1,0.1,9,0.3,crp,1.743236056001379,1.8159263135035144,1.6160641797705488,2.481753228222399,2.596595539416615,0.8
full_seed101_bias_0p1_noise0p25_s13_a0p2_b0p7,101,bias,0.1,0.25,13,0.2,fpr_owa,1.134370672004685,1.184962124752771,1.1262025979673025,1.75234456813075,1.93807001433504,0.7
full_seed101_bias_0p1_noise0p25_s13_a0p2_b0p7,101,bias,0.1,0.25,13,0.2,crp,1.1878309726057987,1.2457507387069002,1.1713978182655744,1.7524638013672085,1.93807001433504,0.7
full_seed101_bias_0p1_noise0p25_s13_a0p3_b0p8,101,bias,0.1,0.25,13,0.3,fpr_owa,1.3606577430636164,1.4449374455091757,1.3149504072830376,2.148530051422654,2.348715633380049,0.8
full_seed101_bias_0p1_noise0p25_s13_a0p3_b0p8,101,bias,0.1,0.25,13,0.3,crp,1.3909652050081072,1.4873041475227191,1.351090046016153,2.16607742898245,2.348715633380049,0.8
full_seed101_bias_0p1_noise0p25_s5_a0p2_b0p7,101,bias,0.1,0.25,5,0.2,fpr_owa,1.7336143413815548,1.8099001257236491,1.6922920438569655,2.55417172044426,2.7327033676123493,0.7
full_seed101_bias_0p1_noise0p25_s5_a0p2_b0p7,101,bias,0.1,0.25,5,0.2,crp,1.7336143413815548,1.8099001257236491,1.6922920438569655,2.55417172044426,2.7327033676123493,0.7
full_seed101_bias_0p1_noise0p25_s5_a0p3_b0p8,101,bias,0.1,0.25,5,0.3,fpr_owa,1.7299506229173902,1.809798933912468,1.6661550456250218,2.56977910378971,2.767724316695624,0.8
full_seed101_bias_0p1_noise0p25_s5_a0p3_b0p8,101,bias,0.1,0.25,5,0.3,crp,1.7299506229173902,1.809798933912468,1.6661550456250218,2.56977910378971,2.767724316695624,0.8
full_seed101_bias_0p1_noise0p25_s9_a0p2_b0p7,101,bias,0.1,0.25,9,0.2,fpr_owa,1.6879290218740823,1.7475129365778548,1.5943346499091635,2.411736744351193,2.5823984057279774,0.7
full_seed101_bias_0p1_noise0p25_s9_a0p2_b0p7,101,bias,0.1,0.25,9,0.2,crp,1.7269383868367203,1.790519610312082,1.6547990319793695,2.432221308781799,2.5823984057279774,0.7
full_seed101_bias_0p1_noise0p25_s9_a0p3_b0p8,101,bias,0.1,0.25,9,0.3,fpr_owa,1.725427253212176,1.7956921250954652,1.611748537758249,2.453655764154209,2.671886585904733,0.8
full_seed101_bias_0p1_noise0p25_s9_a0p3_b0p8,101,bias,0.1,0.25,9,0.3,crp,1.7282601976359393,1.8023372168566485,1.6166704391196736,2.4958493645238704,2.717469723365046,0.8
full_seed101_bias_0p1_noise0p5_s13_a0p2_b0p7,101,bias,0.1,0.5,13,0.2,fpr_owa,1.2072584099527317,1.273721972248634,1.164900758904721,1.8874874349884891,2.221630566581403,0.7
full_seed101_bias_0p1_noise0p5_s13_a0p2_b0p7,101,bias,0.1,0.5,13,0.2,crp,1.268213188437591,1.3502378093226168,1.2387970940273552,1.987057174181453,2.4129216428441707,0.7
full_seed101_bias_0p1_noise0p5_s13_a0p3_b0p8,101,bias,0.1,0.5,13,0.3,fpr_owa,1.325444308251786,1.4215220887269708,1.2768421337661944,2.1780102585617818,2.4987166291150835,0.8
full_seed101_bias_0p1_noise0p5_s13_a0p3_b0p8,101,bias,0.1,0.5,13,0.3,crp,1.33943423983918,1.4549479634738185,1.264609323470709,2.331178761822599,2.638924195582395,0.8
full_seed101_bias_0p1_noise0p5_s5_a0p2_b0p7,101,bias,0.1,0.5,5,0.2,fpr_owa,1.709271226509631,1.8044491280747168,1.6461929187271442,2.6895015239178703,3.020868080479137,0.7
full_seed101_bias_0p1_noise0p5_s5_a0p2_b0p7,101,bias,0.1,0.5,5,0.2,crp,1.7108937448554966,1.806884459017612,1.6461929187271442,2.6986287482273794,3.020868080479137,0.7
full_seed101_bias_0p1_noise0p5_s5_a0p3_b0p8,101,bias,0.1,0.5,5,0.3,fpr_owa,1.703342370087818,1.80311874125599,1.6345246869770231,2.725174442138963,3.089570498033422,0.8
full_seed101_bias_0p1_noise0p5_s5_a0p3_b0p8,101,bias,0.1,0.5,5,0.3,crp,1.70423412637046,1.8045258351022189,1.6345246869770231,2.725174442138963,3.089570498033422,0.8
