scenario,seed,attack_type,attack_ratio,sensor_noise_level,sensors_per_group,alpha,mean_rounds,converged_rate,mean_consensus_degree,mean_excluded_per_tick,beta
full_seed101_drift_0p0_noise0p25_s13_a0p3_b0p8,101,drift,0.0,0.25,13,0.3,1.0,0.5708333333333333,0.7165146728230357,0.0,0.8
full_seed101_drift_0p0_noise0p25_s5_a0p2_b0p7,101,drift,0.0,0.25,5,0.2,1.0,0.9958333333333332,0.867281571473503,0.0,0.7
full_seed101_drift_0p0_noise0p25_s5_a0p3_b0p8,101,drift,0.0,0.25,5,0.3,1.0,0.9958333333333332,0.867281571473503,0.0,0.8
full_seed101_drift_0p0_noise0p25_s9_a0p2_b0p7,101,drift,0.0,0.25,9,0.2,1.0,1.0,0.8020202165237822,0.0,0.7
full_seed101_drift_0p0_noise0p25_s9_a0p3_b0p8,101,drift,0.0,0.25,9,0.3,1.0,1.0,0.8020202165237822,0.0,0.8
full_seed101_drift_0p0_noise0p5_s13_a0p2_b0p7,101,drift,0.0,0.5,13,0.2,1.1041666666666667,0.4375,0.6872024319611031,0.1083333333333333,0.7
full_seed101_drift_0p0_noise0p5_s13_a0p3_b0p8,101,drift,0.0,0.5,13,0.3,1.1041666666666667,0.4375,0.6872024319611031,0.1083333333333333,0.8
full_seed101_drift_0p0_noise0p5_s5_a0p2_b0p7,101,drift,0.0,0.5,5,0.2,1.0041666666666669,0.9625,0.8179292501741884,0.0041666666666666,0.7
full_seed101_drift_0p0_noise0p5_s5_a0p3_b0p8,101,drift,0.0,0.5,5,0.3,1.0041666666666669,0.9625,0.8179292501741884,0.0041666666666666,0.8
full_seed101_drift_0p0_noise0p5_s9_a0p2_b0p7,101,drift,0.0,0.5,9,0.2,1.0416666666666667,0.8833333333333333,0.7658701178291953,0.0416666666666666,0.7
full_seed101_drift_0p0_noise0p5_s9_a0p3_b0p8,101,drift,0.0,0.5,9,0.3,1.0416666666666667,0.8833333333333333,0.7658701178291953,0.0416666666666666,0.8
full_seed101_drift_0p1_noise0p1_s13_a0p2_b0p7,101,drift,0.1,0.1,13,0.2,1.0083333333333333,0.5791666666666667,0.7144548221266549,0.0083333333333333,0.7
full_seed101_drift_0p1_noise0p1_s13_a0p3_b0p8,101,drift,0.1,0.1,13,0.3,1.0083333333333333,0.5791666666666667,0.7144548221266549,0.0083333333333333,0.8
full_seed101_drift_0p1_noise0p1_s5_a0p2_b0p7,101,drift,0.1,0.1,5,0.2,1.0,1.0,0.885706398181517,0.0,0.7
full_seed101_drift_0p1_noise0p1_s5_a0p3_b0p8,101,drift,0.1,0.1,5,0.3,1.0,1.0,0.885706398181517,0.0,0.8
full_seed101_drift_0p1_noise0p1_s9_a0p2_b0p7,101,drift,0.1,0.1,9,0.2,1.0,0.9,0.7929067308547209,0.0,0.7
full_seed101_drift_0p1_noise0p1_s9_a0p3_b0p8,101,drift,0.1,0.1,9,0.3,1.0,0.9,0.7929067308547209,0.0,0.8
