configuration_id,method,metric,historical_global_value,corrected_global_value,delta,replaced_rows
acrp0.5_mz2.0,fpr_owa,max_absolute_error,2.8286819531647165,2.8345366573489628,0.005854704184246273,135
acrp0.5_mz2.0,crp,mae,1.6292212896610663,1.629630392919522,0.00040910325845566753,135
acrp0.5_mz2.0,crp,rmse,1.7340724392731466,1.734672061296975,0.0005996220238284611,135
acrp0.5_mz2.0,crp,median_absolute_error,1.5491617929534958,1.5493456699656298,0.00018387701213407048,135
acrp0.5_mz2.0,crp,p95_absolute_error,2.543407821622159,2.5466803093270958,0.0032724877049368217,135
acrp0.5_mz2.0,crp,max_absolute_error,3.1320016053036785,3.135058334997426,0.003056729693747595,135
acrp0.5_mz4.0,fpr_owa,mae,1.6166327830869047,1.617131463152357,0.0004986800654522838,135
acrp0.5_mz4.0,fpr_owa,rmse,1.7060349006535982,1.7070886685561222,0.0010537679025239832,135
acrp0.5_mz4.0,fpr_owa,median_absolute_error,1.5437561541722697,1.5437288373124458,-2.7316859823933726e-05,135
acrp0.5_mz4.0,fpr_owa,p95_absolute_error,2.480700335650473,2.4846694526211976,0.003969116970724773,135
acrp0.5_mz4.0,fpr_owa,max_absolute_error,2.8286819531647165,2.8345366573489628,0.005854704184246273,135
acrp0.5_mz4.0,crp,mae,1.6110878345262747,1.6115707216497899,0.0004828871235151855,135
acrp0.5_mz4.0,crp,rmse,1.6931188337770853,1.6940819818750843,0.0009631480979990226,135
acrp0.5_mz4.0,crp,median_absolute_error,1.5458614305329648,1.54567016301252,-0.00019126752044473783,135
acrp0.5_mz4.0,crp,p95_absolute_error,2.419365520467081,2.422969984935609,0.0036044644685278016,135
acrp0.5_mz4.0,crp,max_absolute_error,2.770965075191634,2.7752608328183643,0.004295757626730179,135
acrp0.7_mz2.0,fpr_owa,mae,1.6166327830869047,1.617131463152357,0.0004986800654522838,135
acrp0.7_mz2.0,fpr_owa,rmse,1.7060349006535982,1.7070886685561222,0.0010537679025239832,135
acrp0.7_mz2.0,fpr_owa,median_absolute_error,1.5437561541722697,1.5437288373124458,-2.7316859823933726e-05,135
acrp0.7_mz2.0,fpr_owa,p95_absolute_error,2.480700335650473,2.4846694526211976,0.003969116970724773,135
acrp0.7_mz2.0,fpr_owa,max_absolute_error,2.8286819531647165,2.8345366573489628,0.005854704184246273,135
acrp0.7_mz2.0,crp,mae,1.6501572489798837,1.650934007317332,0.00077675833744828,135
acrp0.7_mz2.0,crp,rmse,1.7691109486073293,1.7703092054411422,0.0011982568338129163,135
acrp0.7_mz2.0,crp,median_absolute_error,1.5640968172374625,1.563967335603532,-0.00012948163393056156,135
acrp0.7_mz2.0,crp,p95_absolute_error,2.6398382278950088,2.6431885281226126,0.003350300227603853,135
acrp0.7_mz2.0,crp,max_absolute_error,3.0415059523737895,3.044449498229387,0.002943545855597307,135
acrp0.7_mz4.0,fpr_owa,mae,1.6166327830869047,1.617131463152357,0.0004986800654522838,135
acrp0.7_mz4.0,fpr_owa,rmse,1.7060349006535982,1.7070886685561222,0.0010537679025239832,135
acrp0.7_mz4.0,fpr_owa,median_absolute_error,1.5437561541722697,1.5437288373124458,-2.7316859823933726e-05,135
acrp0.7_mz4.0,fpr_owa,p95_absolute_error,2.480700335650473,2.4846694526211976,0.003969116970724773,135
acrp0.7_mz4.0,fpr_owa,max_absolute_error,2.8286819531647165,2.8345366573489628,0.005854704184246273,135
acrp0.7_mz4.0,crp,mae,1.6044924144957848,1.6045528745834903,6.0460087705438426e-05,135
acrp0.7_mz4.0,crp,rmse,1.6932608209165059,1.693281142661156,2.0321744650164675e-05,135
acrp0.7_mz4.0,crp,median_absolute_error,1.5338845320022436,1.534402808468823,0.0005182764665794259,135
