attack_type,attack_ratio,method,seed,sensor_noise_level,sensors_per_group,alpha,beta,mae,rmse,median_absolute_error,p95_absolute_error,max_absolute_error,mean_anomaly_flags,mean_confidence
freeze,0.4,fpr_owa,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.6062482998082197,1.674932890092535,1.561153923122811,2.338706815971933,2.546054216066293,0.9344135802469137,0.5372124404929084
freeze,0.4,hampel_filter_then_mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.4933904979089359,1.548946111572197,1.4218505953370537,2.1356138946626535,2.5465957830272212,0.0,1.0
freeze,0.4,mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.4418615463051643,1.483961536570457,1.3833676900054455,1.9962227166482347,2.1812607788693534,0.0,1.0
freeze,0.4,median,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.5681179233116345,1.6333442074523896,1.5068214575877317,2.305430099887113,2.578582254203612,0.0,1.0
freeze,0.4,trimmed_mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.4481765832067142,1.49102910798988,1.3878673538784645,2.010674048242378,2.2062660701800256,0.0,1.0
mixed,0.0,direct_owa,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.5167091613174692,1.5749709733340298,1.4031908249644205,2.177884505999744,2.378718829485556,0.0,1.0
mixed,0.0,fpr_owa,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.606579391609211,1.6801997503496158,1.5368600265228805,2.3405933502544753,2.572021618562354,1.0239197530864197,0.5346690363491322
mixed,0.0,hampel_filter_then_mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.5055047030231845,1.5696630017338307,1.3856518620044596,2.261319333582599,2.5928041467653817,0.0,1.0
mixed,0.0,mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.4444259462255238,1.4908385851158745,1.3474679840612556,2.0223981102851605,2.1983511484575198,0.0,1.0
mixed,0.0,median,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.5784847036315741,1.6514589038501226,1.4703870162085872,2.347073763943246,2.601161626559418,0.0,1.0
mixed,0.0,trimmed_mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.4512606355045279,1.4986154617188123,1.3512922027579792,2.0359384359448196,2.22432909837423,0.0,1.0
mixed,0.1,direct_owa,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.5223928175210146,1.5811896666000698,1.4139694015434232,2.1880823949983577,2.3971718618994395,0.0,1.0
