scenario,seed,attack_type,attack_ratio,sensor_noise_level,sensors_per_group,alpha,beta,method,mae,rmse,median_absolute_error,p95_absolute_error,max_absolute_error,mean_anomaly_flags,mean_confidence
full_seed11_bias_0p0_noise0p1_s13_a0p2_b0p7,11,bias,0.0,0.1,13,0.2,0.7,hampel_filter_then_mean,1.152432692438119,1.23042198120444,0.988966729262392,2.3225179569353895,2.412295664178581,0.0,1.0
full_seed11_bias_0p0_noise0p1_s13_a0p2_b0p7,11,bias,0.0,0.1,13,0.2,0.7,direct_owa,0.9504980661019732,0.9942314646775182,0.8444507518940012,1.4038568854621645,1.5050651298802449,0.0,1.0
full_seed11_bias_0p0_noise0p1_s13_a0p2_b0p7,11,bias,0.0,0.1,13,0.2,0.7,fpr_owa,1.2030380377571295,1.251722441779351,1.2026784507458006,1.6480635543117987,1.7018842003615893,1.0666666666666667,0.5410961340181092
full_seed11_bias_0p0_noise0p25_s5_a0p3_b0p8,11,bias,0.0,0.25,5,0.3,0.8,mean,1.7416850719878165,1.7962215258647878,1.630761559070456,2.4064087045621974,2.550724674182865,0.0,1.0
full_seed11_bias_0p0_noise0p25_s5_a0p3_b0p8,11,bias,0.0,0.25,5,0.3,0.8,median,1.7726791339169334,1.8375982163174447,1.6534520162529147,2.505660658286649,2.6751768219608265,0.0,1.0
full_seed11_bias_0p0_noise0p25_s5_a0p3_b0p8,11,bias,0.0,0.25,5,0.3,0.8,trimmed_mean,1.7416850719878165,1.796221525864788,1.6307615590704563,2.4064087045621974,2.550724674182865,0.0,1.0
full_seed11_bias_0p0_noise0p25_s5_a0p3_b0p8,11,bias,0.0,0.25,5,0.3,0.8,hampel_filter_then_mean,1.7676611015411512,1.8294340367142545,1.6419448150530467,2.5018039037054876,2.7190686360343976,0.0,1.0
full_seed11_bias_0p0_noise0p25_s5_a0p3_b0p8,11,bias,0.0,0.25,5,0.3,0.8,direct_owa,1.8105871113764505,1.86811781118862,1.6662618615216624,2.5024193559061283,2.6515829830536806,0.0,1.0
full_seed11_bias_0p0_noise0p25_s5_a0p3_b0p8,11,bias,0.0,0.25,5,0.3,0.8,fpr_owa,1.78072106663173,1.853421338503683,1.7005437807770967,2.5455608840162336,2.7805081808142633,0.7083333333333334,0.5421374142602526
full_seed11_bias_0p0_noise0p25_s5_a0p2_b0p7,11,bias,0.0,0.25,5,0.2,0.7,mean,1.7416850719878165,1.7962215258647878,1.630761559070456,2.4064087045621974,2.550724674182865,0.0,1.0
full_seed11_bias_0p0_noise0p25_s5_a0p2_b0p7,11,bias,0.0,0.25,5,0.2,0.7,median,1.7726791339169334,1.8375982163174447,1.6534520162529147,2.505660658286649,2.6751768219608265,0.0,1.0
full_seed11_bias_0p0_noise0p25_s5_a0p2_b0p7,11,bias,0.0,0.25,5,0.2,0.7,trimmed_mean,1.7416850719878165,1.796221525864788,1.6307615590704563,2.4064087045621974,2.550724674182865,0.0,1.0
full_seed11_bias_0p0_noise0p25_s5_a0p2_b0p7,11,bias,0.0,0.25,5,0.2,0.7,hampel_filter_then_mean,1.7676611015411512,1.8294340367142545,1.6419448150530467,2.5018039037054876,2.7190686360343976,0.0,1.0
full_seed11_bias_0p0_noise0p25_s5_a0p2_b0p7,11,bias,0.0,0.25,5,0.2,0.7,direct_owa,1.7137257044420282,1.7766920154316332,1.5531562878977447,2.4397009246286006,2.574304181081287,0.0,1.0
full_seed11_bias_0p0_noise0p25_s5_a0p2_b0p7,11,bias,0.0,0.25,5,0.2,0.7,fpr_owa,1.768739992363102,1.8408338656066765,1.6648480772683014,2.521330051813962,2.8249633333898125,0.7083333333333334,0.5421374142602526
full_seed11_bias_0p0_noise0p25_s9_a0p3_b0p8,11,bias,0.0,0.25,9,0.3,0.8,mean,1.545751835534099,1.5920292963059623,1.4507884225810943,2.1179070387897196,2.177963982399559,0.0,1.0
full_seed11_bias_0p0_noise0p25_s9_a0p3_b0p8,11,bias,0.0,0.25,9,0.3,0.8,median,1.6804000330483235,1.7484567496428733,1.5630896740270326,2.416009674837239,2.59343981314598,0.0,1.0
full_seed11_bias_0p0_noise0p25_s9_a0p3_b0p8,11,bias,0.0,0.25,9,0.3,0.8,trimmed_mean,1.545751835534099,1.5920292963059623,1.4507884225810943,2.1179070387897196,2.177963982399559,0.0,1.0
full_seed11_bias_0p0_noise0p25_s9_a0p3_b0p8,11,bias,0.0,0.25,9,0.3,0.8,hampel_filter_then_mean,1.6698256697505358,1.7377074262197412,1.5044905880346557,2.3874474581046363,2.596305382792309,0.0,1.0
full_seed11_bias_0p0_noise0p25_s9_a0p3_b0p8,11,bias,0.0,0.25,9,0.3,0.8,direct_owa,1.7416791266307816,1.79923367514811,1.6130197614111825,2.4177122252322247,2.5089419069897816,0.0,1.0
full_seed11_bias_0p0_noise0p25_s9_a0p3_b0p8,11,bias,0.0,0.25,9,0.3,0.8,fpr_owa,1.7255843389288017,1.797624491851203,1.630210464348906,2.4853318189876945,2.5830073309369843,1.3375,0.5259479984865814
full_seed11_bias_0p0_noise0p25_s9_a0p2_b0p7,11,bias,0.0,0.25,9,0.2,0.7,mean,1.545751835534099,1.5920292963059623,1.4507884225810943,2.1179070387897196,2.177963982399559,0.0,1.0
full_seed11_bias_0p0_noise0p25_s9_a0p2_b0p7,11,bias,0.0,0.25,9,0.2,0.7,median,1.6804000330483235,1.7484567496428733,1.5630896740270326,2.416009674837239,2.59343981314598,0.0,1.0
full_seed11_bias_0p0_noise0p25_s9_a0p2_b0p7,11,bias,0.0,0.25,9,0.2,0.7,trimmed_mean,1.545751835534099,1.5920292963059623,1.4507884225810943,2.1179070387897196,2.177963982399559,0.0,1.0
full_seed11_bias_0p0_noise0p25_s9_a0p2_b0p7,11,bias,0.0,0.25,9,0.2,0.7,hampel_filter_then_mean,1.6698256697505358,1.7377074262197412,1.5044905880346557,2.3874474581046363,2.596305382792309,0.0,1.0
full_seed11_bias_0p0_noise0p25_s9_a0p2_b0p7,11,bias,0.0,0.25,9,0.2,0.7,direct_owa,1.5928995836280113,1.6569086850170889,1.4514626554647587,2.2862503213555136,2.411940684077572,0.0,1.0
full_seed11_bias_0p0_noise0p25_s9_a0p2_b0p7,11,bias,0.0,0.25,9,0.2,0.7,fpr_owa,1.7461352404491017,1.8089103731019338,1.645012760945749,2.447591344300196,2.526468902583454,1.3375,0.5259479984865814
full_seed11_bias_0p0_noise0p25_s13_a0p3_b0p8,11,bias,0.0,0.25,13,0.3,0.8,mean,1.0743054064564304,1.1078411935866241,1.015551528292069,1.4804488887180145,1.603141473428189,0.0,1.0
full_seed11_bias_0p0_noise0p25_s13_a0p3_b0p8,11,bias,0.0,0.25,13,0.3,0.8,median,1.3344061957893454,1.414451848683658,1.196046019328934,2.0892122187414617,2.3358243366692397,0.0,1.0
full_seed11_bias_0p0_noise0p25_s13_a0p3_b0p8,11,bias,0.0,0.25,13,0.3,0.8,trimmed_mean,1.092550708789975,1.1287729792074952,1.0090431825275137,1.5275706838889176,1.6288717028668729,0.0,1.0
full_seed11_bias_0p0_noise0p25_s13_a0p3_b0p8,11,bias,0.0,0.25,13,0.3,0.8,hampel_filter_then_mean,1.1117287807660887,1.1630593796019661,1.015551528292069,1.7119502630076806,2.3678995551651876,0.0,1.0
full_seed11_bias_0p0_noise0p25_s13_a0p3_b0p8,11,bias,0.0,0.25,13,0.3,0.8,direct_owa,1.3313408043987993,1.382413014463966,1.2241966541862996,1.904129339653543,2.0293802821102753,0.0,1.0
full_seed11_bias_0p0_noise0p25_s13_a0p3_b0p8,11,bias,0.0,0.25,13,0.3,0.8,fpr_owa,1.4406965827838207,1.5385127187146914,1.3426406936018875,2.1780674388216434,2.3214884090002728,0.9625,0.536039994168131
full_seed11_bias_0p0_noise0p25_s13_a0p2_b0p7,11,bias,0.0,0.25,13,0.2,0.7,mean,1.0743054064564304,1.1078411935866241,1.015551528292069,1.4804488887180145,1.603141473428189,0.0,1.0
full_seed11_bias_0p0_noise0p25_s13_a0p2_b0p7,11,bias,0.0,0.25,13,0.2,0.7,median,1.3344061957893454,1.414451848683658,1.196046019328934,2.0892122187414617,2.3358243366692397,0.0,1.0
full_seed11_bias_0p0_noise0p25_s13_a0p2_b0p7,11,bias,0.0,0.25,13,0.2,0.7,trimmed_mean,1.092550708789975,1.1287729792074952,1.0090431825275137,1.5275706838889176,1.6288717028668729,0.0,1.0
