scenario,seed,attack_type,attack_ratio,sensor_noise_level,sensors_per_group,alpha,method,mae,rmse,median_absolute_error,p95_absolute_error,max_absolute_error,beta
full_seed101_bias_0p0_noise0p5_s13_a0p3_b0p8,101,bias,0.0,0.5,13,0.3,fpr_dominance_only,1.2509408347901996,1.330839148615498,1.2052720163905022,2.0608369555246595,2.467895240106229,0.8
full_seed101_bias_0p0_noise0p5_s13_a0p3_b0p8,101,bias,0.0,0.5,13,0.3,owa_only,1.3263113373672628,1.3859227955562408,1.2516759019231003,2.0339553036130025,2.329256505151979,0.8
full_seed101_bias_0p0_noise0p5_s13_a0p3_b0p8,101,bias,0.0,0.5,13,0.3,full_fpr_owa,1.3542700790443412,1.4646362664908377,1.2917001243824369,2.3401931281901307,2.585645126688344,0.8
full_seed101_bias_0p0_noise0p5_s5_a0p2_b0p7,101,bias,0.0,0.5,5,0.2,reliability_only,1.7025583056789222,1.789171637087848,1.6150167581173536,2.6302732008627965,3.1924730780130703,0.7
full_seed101_bias_0p0_noise0p5_s5_a0p2_b0p7,101,bias,0.0,0.5,5,0.2,fpr_dominance_only,1.701933229295012,1.7911538871028485,1.6227318223961102,2.669938143592128,3.095625337612136,0.7
full_seed101_bias_0p0_noise0p5_s5_a0p2_b0p7,101,bias,0.0,0.5,5,0.2,owa_only,1.6416946916870172,1.7201931967236244,1.4914066855035577,2.4968898871184217,2.930103452158296,0.7
full_seed101_bias_0p0_noise0p5_s5_a0p2_b0p7,101,bias,0.0,0.5,5,0.2,full_fpr_owa,1.709271226509631,1.8044491280747172,1.6461929187271442,2.6895015239178703,3.0208680804791372,0.7
full_seed101_bias_0p0_noise0p5_s5_a0p3_b0p8,101,bias,0.0,0.5,5,0.3,reliability_only,1.7025583056789222,1.789171637087848,1.6150167581173536,2.6302732008627965,3.1924730780130703,0.8
full_seed101_bias_0p0_noise0p5_s5_a0p3_b0p8,101,bias,0.0,0.5,5,0.3,fpr_dominance_only,1.701933229295012,1.7911538871028485,1.6227318223961102,2.669938143592128,3.095625337612136,0.8
full_seed101_bias_0p0_noise0p5_s5_a0p3_b0p8,101,bias,0.0,0.5,5,0.3,owa_only,1.773165858300734,1.8449419350981144,1.6708635175013415,2.598272924325401,3.0386510315498256,0.8
full_seed101_bias_0p0_noise0p5_s5_a0p3_b0p8,101,bias,0.0,0.5,5,0.3,full_fpr_owa,1.703342370087818,1.80311874125599,1.6345246869770231,2.725174442138963,3.089570498033422,0.8
full_seed101_bias_0p0_noise0p5_s9_a0p2_b0p7,101,bias,0.0,0.5,9,0.2,reliability_only,1.6525406156439555,1.7269381895496636,1.551088063225416,2.4768297321048944,2.923716074147293,0.7
