file,variant,ticks,mae_c,precision,recall,true_positive_reporter_ticks,false_positive_reporter_ticks,false_negative_reporter_ticks,true_negative_reporter_ticks,false_alarm_transition_ticks,nonconverged_ticks,reporter_exclusions,total_rounds
seed101_14_stuck_high_fpr_crp.ticks.csv,published_blend,240,0.11362292053890549,1.0,0.03333333333333333,6,0,174,1980,0,56,12,244
seed101_14_stuck_high_fpr_crp.ticks.csv,social_dynamic_innovation,240,0.07970505650631862,1.0,0.9666666666666667,174,0,6,1980,0,0,180,300
seed11_00_nominal_none_fpr_crp.ticks.csv,temporal_only,240,0.06965495553729147,,,0,0,0,2160,0,0,0,240
seed11_00_nominal_none_fpr_crp.ticks.csv,social_only,240,0.06965495553729147,,,0,0,0,2160,0,0,0,240
seed11_00_nominal_none_fpr_crp.ticks.csv,published_blend,240,0.06965495553729147,,,0,0,0,2160,0,0,0,240
seed11_00_nominal_none_fpr_crp.ticks.csv,social_dynamic_innovation,240,0.06965495553729147,,,0,0,0,2160,0,0,0,240
seed11_01_bias_low_fpr_crp.ticks.csv,temporal_only,240,0.073242007677901,,0.0,0,0,180,1980,0,0,0,240
seed11_01_bias_low_fpr_crp.ticks.csv,social_only,240,0.073242007677901,,0.0,0,0,180,1980,0,0,0,240
seed11_01_bias_low_fpr_crp.ticks.csv,published_blend,240,0.073242007677901,,0.0,0,0,180,1980,0,0,0,240
seed11_01_bias_low_fpr_crp.ticks.csv,social_dynamic_innovation,240,0.073242007677901,,0.0,0,0,180,1980,0,0,0,240
seed11_02_bias_high_fpr_crp.ticks.csv,temporal_only,240,0.09010920944806444,,0.0,0,0,180,1980,0,58,6,242
seed11_02_bias_high_fpr_crp.ticks.csv,social_only,240,0.0825279924465898,1.0,0.9666666666666667,174,0,6,1980,0,0,177,300
seed11_02_bias_high_fpr_crp.ticks.csv,published_blend,240,0.08985241377104719,1.0,0.011111111111111112,2,0,178,1980,0,57,9,245
seed11_02_bias_high_fpr_crp.ticks.csv,social_dynamic_innovation,240,0.08246733213775001,1.0,0.9666666666666667,174,0,6,1980,0,0,180,300
seed11_03_drift_low_fpr_crp.ticks.csv,temporal_only,240,0.07706656054688263,,0.0,0,0,180,1980,0,0,0,240
seed11_03_drift_low_fpr_crp.ticks.csv,social_only,240,0.07706656054688263,,0.0,0,0,180,1980,0,0,0,240
seed11_03_drift_low_fpr_crp.ticks.csv,published_blend,240,0.07706656054688263,,0.0,0,0,180,1980,0,0,0,240
seed11_03_drift_low_fpr_crp.ticks.csv,social_dynamic_innovation,240,0.07706656054688263,,0.0,0,0,180,1980,0,0,0,240
seed11_04_drift_high_fpr_crp.ticks.csv,temporal_only,240,0.07851775741610198,0.0,0.0,0,1,180,1979,0,22,0,240
seed11_04_drift_high_fpr_crp.ticks.csv,social_only,240,0.07382084520480367,1.0,0.3055555555555556,55,0,125,1980,0,1,55,262
seed11_04_drift_high_fpr_crp.ticks.csv,published_blend,240,0.07851775741610198,,0.0,0,0,180,1980,0,22,0,240
seed11_04_drift_high_fpr_crp.ticks.csv,social_dynamic_innovation,240,0.07445604069596781,1.0,0.3333333333333333,60,0,120,1980,0,0,64,262
seed11_05_replay_low_fpr_crp.ticks.csv,temporal_only,240,0.08407223208959129,,0.0,0,0,180,1980,0,0,0,240
seed11_05_replay_low_fpr_crp.ticks.csv,social_only,240,0.08407223208959129,,0.0,0,0,180,1980,0,0,0,240
seed11_05_replay_low_fpr_crp.ticks.csv,published_blend,240,0.08407223208959129,,0.0,0,0,180,1980,0,0,0,240
seed11_05_replay_low_fpr_crp.ticks.csv,social_dynamic_innovation,240,0.08407223208959129,,0.0,0,0,180,1980,0,0,0,240
seed11_06_replay_high_fpr_crp.ticks.csv,temporal_only,240,0.07969453112610468,,0.0,0,0,180,1980,0,0,0,240
seed11_06_replay_high_fpr_crp.ticks.csv,social_only,240,0.07969453112610468,,0.0,0,0,180,1980,0,0,0,240
seed11_06_replay_high_fpr_crp.ticks.csv,published_blend,240,0.07969453112610468,,0.0,0,0,180,1980,0,0,0,240
seed11_06_replay_high_fpr_crp.ticks.csv,social_dynamic_innovation,240,0.07969453112610468,,0.0,0,0,180,1980,0,0,0,240
seed11_07_freeze_low_fpr_crp.ticks.csv,temporal_only,240,0.07637638077914774,,0.0,0,0,60,2100,0,0,0,240
seed11_07_freeze_low_fpr_crp.ticks.csv,social_only,240,0.07637638077914774,,0.0,0,0,60,2100,0,0,0,240
seed11_07_freeze_low_fpr_crp.ticks.csv,published_blend,240,0.07637638077914774,,0.0,0,0,60,2100,0,0,0,240
seed11_07_freeze_low_fpr_crp.ticks.csv,social_dynamic_innovation,240,0.07637638077914774,,0.0,0,0,60,2100,0,0,0,240
seed11_08_freeze_high_fpr_crp.ticks.csv,temporal_only,240,0.08479714994541153,,0.0,0,0,180,1980,0,0,0,240
seed11_08_freeze_high_fpr_crp.ticks.csv,social_only,240,0.08479714994541153,,0.0,0,0,180,1980,0,0,0,240
seed11_08_freeze_high_fpr_crp.ticks.csv,published_blend,240,0.08479714994541153,,0.0,0,0,180,1980,0,0,0,240
seed11_08_freeze_high_fpr_crp.ticks.csv,social_dynamic_innovation,240,0.08479714994541153,,0.0,0,0,180,1980,0,0,0,240
seed11_09_spike_low_fpr_crp.ticks.csv,temporal_only,240,0.08319788750970375,1.0,0.9666666666666667,174,0,6,1980,0,0,180,300
seed11_09_spike_low_fpr_crp.ticks.csv,social_only,240,0.08278411996888639,1.0,0.9666666666666667,174,0,6,1980,0,0,175,301
seed11_09_spike_low_fpr_crp.ticks.csv,published_blend,240,0.08319788750970375,1.0,0.9666666666666667,174,0,6,1980,0,0,180,300
seed11_09_spike_low_fpr_crp.ticks.csv,social_dynamic_innovation,240,0.08319788750970375,1.0,0.9666666666666667,174,0,6,1980,0,0,180,300
seed11_10_spike_high_fpr_crp.ticks.csv,temporal_only,240,0.08644835949866206,0.9942857142857143,0.9666666666666667,174,1,6,1979,0,0,180,300
seed11_10_spike_high_fpr_crp.ticks.csv,social_only,240,0.08644835949866206,1.0,0.9666666666666667,174,0,6,1980,0,0,180,300
seed11_10_spike_high_fpr_crp.ticks.csv,published_blend,240,0.08644835949866206,1.0,0.9666666666666667,174,0,6,1980,0,0,180,300
seed11_10_spike_high_fpr_crp.ticks.csv,social_dynamic_innovation,240,0.08644835949866206,1.0,0.9666666666666667,174,0,6,1980,0,0,180,300
seed11_11_scaling_low_fpr_crp.ticks.csv,temporal_only,240,0.07216297360507663,,0.0,0,0,180,1980,0,0,0,240
seed11_11_scaling_low_fpr_crp.ticks.csv,social_only,240,0.07216297360507663,,0.0,0,0,180,1980,0,0,0,240
seed11_11_scaling_low_fpr_crp.ticks.csv,published_blend,240,0.07216297360507663,,0.0,0,0,180,1980,0,0,0,240
seed11_11_scaling_low_fpr_crp.ticks.csv,social_dynamic_innovation,240,0.07216297360507663,,0.0,0,0,180,1980,0,0,0,240
